xWS	rho[g/cm^3]	n_e[pm^-3]	P[N/m^2]	mu_F_e[MeV]
1.00000e-03	5.69681e+23	1.51611e+06	4.25854e+30	6.96264e+01
1.02332e-03	5.31616e+23	1.51621e+06	4.25893e+30	6.96276e+01
1.04718e-03	4.96095e+23	1.51631e+06	4.25930e+30	6.96295e+01
1.07160e-03	4.62948e+23	1.51641e+06	4.25967e+30	6.96308e+01
1.09659e-03	4.32015e+23	1.51651e+06	4.26003e+30	6.96326e+01
1.12216e-03	4.03149e+23	1.51660e+06	4.26039e+30	6.96339e+01
1.14833e-03	3.76212e+23	1.51669e+06	4.26073e+30	6.96351e+01
1.17511e-03	3.51074e+23	1.51678e+06	4.26107e+30	6.96364e+01
1.20251e-03	3.27617e+23	1.51687e+06	4.26139e+30	6.96382e+01
1.23055e-03	3.05726e+23	1.51695e+06	4.26171e+30	6.96395e+01
1.25925e-03	2.85298e+23	1.51704e+06	4.26203e+30	6.96407e+01
1.28861e-03	2.66236e+23	1.51712e+06	4.26233e+30	6.96420e+01
1.31866e-03	2.48447e+23	1.51720e+06	4.26263e+30	6.96432e+01
1.34941e-03	2.31846e+23	1.51728e+06	4.26293e+30	6.96445e+01
1.38088e-03	2.16355e+23	1.51735e+06	4.26321e+30	6.96457e+01
1.41308e-03	2.01899e+23	1.51743e+06	4.26349e+30	6.96464e+01
1.44603e-03	1.88408e+23	1.51750e+06	4.26377e+30	6.96476e+01
1.47975e-03	1.75819e+23	1.51757e+06	4.26403e+30	6.96489e+01
1.51426e-03	1.64072e+23	1.51764e+06	4.26429e+30	6.96501e+01
1.54957e-03	1.53109e+23	1.51771e+06	4.26455e+30	6.96507e+01
1.58571e-03	1.42879e+23	1.51778e+06	4.26480e+30	6.96520e+01
1.62268e-03	1.33332e+23	1.51784e+06	4.26504e+30	6.96532e+01
1.66052e-03	1.24423e+23	1.51791e+06	4.26528e+30	6.96539e+01
1.69924e-03	1.16109e+23	1.51797e+06	4.26551e+30	6.96551e+01
1.73887e-03	1.08351e+23	1.51803e+06	4.26574e+30	6.96557e+01
