xWS	rho[g/cm^3]	n_e[pm^-3]	P[N/m^2]	mu_F_e[MeV]
1.00000e-03	2.26009e+24	1.20788e+07	2.07405e+37	1.39557e+02
1.12292e-03	1.59616e+24	1.20788e+07	1.46477e+37	1.39557e+02
1.26095e-03	1.12727e+24	1.20788e+07	1.03448e+37	1.39557e+02
1.41595e-03	7.96121e+23	1.20788e+07	7.30591e+36	1.39557e+02
1.59001e-03	5.62251e+23	1.20788e+07	5.15973e+36	1.39557e+02
1.78545e-03	3.97083e+23	1.20788e+07	3.64402e+36	1.39557e+02
2.00492e-03	2.80435e+23	1.20788e+07	2.57356e+36	1.39557e+02
2.25137e-03	1.98054e+23	1.20788e+07	1.81757e+36	1.39557e+02
2.52812e-03	1.39873e+23	1.20788e+07	1.28366e+36	1.39557e+02
2.83888e-03	9.87837e+22	1.20788e+07	9.06586e+35	1.39557e+02
3.18784e-03	6.97648e+22	1.20788e+07	6.40285e+35	1.39557e+02
3.57970e-03	4.92705e+22	1.20788e+07	4.52214e+35	1.39557e+02
4.01972e-03	3.47967e+22	1.20788e+07	3.19390e+35	1.39557e+02
4.51383e-03	2.45748e+22	1.20788e+07	2.25585e+35	1.39557e+02
5.06868e-03	1.73556e+22	1.20788e+07	1.59337e+35	1.39557e+02
5.69174e-03	1.22572e+22	1.20788e+07	1.12550e+35	1.39557e+02
6.39138e-03	8.65650e+21	1.20788e+07	7.95068e+34	1.39557e+02
7.17702e-03	6.11355e+21	1.20788e+07	5.61706e+34	1.39557e+02
8.05923e-03	4.31762e+21	1.20788e+07	3.96897e+34	1.39557e+02
9.04989e-03	3.04927e+21	1.20788e+07	2.80503e+34	1.39557e+02
1.01623e-02	2.15351e+21	1.20788e+07	1.98301e+34	1.39557e+02
1.14115e-02	1.52089e+21	1.20788e+07	1.40247e+34	1.39557e+02
1.28142e-02	1.07411e+21	1.20788e+07	9.92466e+33	1.39557e+02
1.43894e-02	7.58577e+20	1.20788e+07	7.02908e+33	1.39557e+02
1.61581e-02	5.35736e+20	1.20788e+07	4.98411e+33	1.39557e+02
1.81443e-02	3.78357e+20	1.20788e+07	3.53987e+33	1.39557e+02
2.03747e-02	2.67210e+20	1.20788e+07	2.51990e+33	1.39557e+02
2.28792e-02	1.88714e+20	1.20788e+07	1.79956e+33	1.39556e+02
2.56915e-02	1.33277e+20	1.20788e+07	1.29082e+33	1.39556e+02
2.88496e-02	9.41253e+19	1.20787e+07	9.31533e+32	1.39556e+02
3.23959e-02	6.64748e+19	1.20787e+07	6.77790e+32	1.39556e+02
3.63780e-02	4.69471e+19	1.20787e+07	4.98588e+32	1.39556e+02
4.08497e-02	3.31558e+19	1.20787e+07	3.72028e+32	1.39556e+02
4.58710e-02	2.34159e+19	1.20786e+07	2.82646e+32	1.39556e+02
5.15096e-02	1.65372e+19	1.20786e+07	2.19521e+32	1.39556e+02
5.78413e-02	1.16792e+19	1.20785e+07	1.74940e+32	1.39555e+02
6.49512e-02	8.24829e+18	1.20784e+07	1.43455e+32	1.39555e+02
7.29352e-02	5.82525e+18	1.20783e+07	1.21218e+32	1.39555e+02
8.19005e-02	4.11402e+18	1.20782e+07	1.05514e+32	1.39554e+02
9.19679e-02	2.90547e+18	1.20781e+07	9.44221e+31	1.39554e+02
1.03273e-01	2.05196e+18	1.20779e+07	8.65880e+31	1.39553e+02
1.15967e-01	1.44917e+18	1.20776e+07	8.10545e+31	1.39552e+02
1.30222e-01	1.02346e+18	1.20773e+07	7.71455e+31	1.39551e+02
1.46229e-01	7.22807e+17	1.20769e+07	7.43835e+31	1.39549e+02
1.64204e-01	5.10474e+17	1.20764e+07	7.24312e+31	1.39547e+02
1.84389e-01	3.60517e+17	1.20758e+07	7.10504e+31	1.39545e+02
