xWS	rho[g/cm^3]	n_e[pm^-3]	P[N/m^2]	mu_F_e[MeV]
1.00000e-03	1.69648e+24	1.20788e+07	6.36303e+36	1.39557e+02
1.02332e-03	1.58311e+24	1.20788e+07	5.93781e+36	1.39557e+02
1.04719e-03	1.47732e+24	1.20788e+07	5.54102e+36	1.39557e+02
1.07161e-03	1.37859e+24	1.20788e+07	5.17073e+36	1.39557e+02
1.09660e-03	1.28647e+24	1.20788e+07	4.82520e+36	1.39557e+02
1.12218e-03	1.20050e+24	1.20788e+07	4.50275e+36	1.39557e+02
1.14835e-03	1.12027e+24	1.20788e+07	4.20185e+36	1.39557e+02
1.17513e-03	1.04541e+24	1.20788e+07	3.92106e+36	1.39557e+02
1.20254e-03	9.75547e+23	1.20788e+07	3.65904e+36	1.39557e+02
1.23059e-03	9.10355e+23	1.20788e+07	3.41452e+36	1.39557e+02
1.25929e-03	8.49519e+23	1.20788e+07	3.18635e+36	1.39557e+02
1.28866e-03	7.92749e+23	1.20788e+07	2.97342e+36	1.39557e+02
1.31871e-03	7.39773e+23	1.20788e+07	2.77472e+36	1.39557e+02
1.34947e-03	6.90336e+23	1.20788e+07	2.58930e+36	1.39557e+02
1.38094e-03	6.44204e+23	1.20788e+07	2.41627e+36	1.39557e+02
1.41315e-03	6.01154e+23	1.20788e+07	2.25481e+36	1.39557e+02
1.44611e-03	5.60981e+23	1.20788e+07	2.10413e+36	1.39557e+02
1.47983e-03	5.23493e+23	1.20788e+07	1.96352e+36	1.39557e+02
1.51435e-03	4.88509e+23	1.20788e+07	1.83231e+36	1.39557e+02
1.54966e-03	4.55864e+23	1.20788e+07	1.70987e+36	1.39557e+02
1.58581e-03	4.25400e+23	1.20788e+07	1.59561e+36	1.39557e+02
1.62279e-03	3.96972e+23	1.20788e+07	1.48899e+36	1.39557e+02
1.66064e-03	3.70444e+23	1.20788e+07	1.38949e+36	1.39557e+02
1.69937e-03	3.45689e+23	1.20788e+07	1.29664e+36	1.39557e+02
1.73900e-03	3.22588e+23	1.20788e+07	1.20999e+36	1.39557e+02
1.77956e-03	3.01030e+23	1.20788e+07	1.12914e+36	1.39557e+02
1.82106e-03	2.80913e+23	1.20788e+07	1.05369e+36	1.39557e+02
1.86354e-03	2.62141e+23	1.20788e+07	9.83276e+35	1.39557e+02
1.90700e-03	2.44623e+23	1.20788e+07	9.17572e+35	1.39557e+02
1.95147e-03	2.28276e+23	1.20788e+07	8.56258e+35	1.39557e+02
1.99699e-03	2.13021e+23	1.20788e+07	7.99042e+35	1.39557e+02
2.04356e-03	1.98786e+23	1.20788e+07	7.45649e+35	1.39557e+02
2.09122e-03	1.85501e+23	1.20788e+07	6.95825e+35	1.39557e+02
2.14000e-03	1.73105e+23	1.20788e+07	6.49330e+35	1.39557e+02
2.18991e-03	1.61537e+23	1.20788e+07	6.05942e+35	1.39557e+02
2.24098e-03	1.50742e+23	1.20788e+07	5.65454e+35	1.39557e+02
2.29325e-03	1.40669e+23	1.20788e+07	5.27671e+35	1.39557e+02
2.34673e-03	1.31268e+23	1.20788e+07	4.92413e+35	1.39557e+02
2.40146e-03	1.22496e+23	1.20788e+07	4.59512e+35	1.39557e+02
2.45747e-03	1.14310e+23	1.20788e+07	4.28809e+35	1.39557e+02
2.51478e-03	1.06671e+23	1.20788e+07	4.00157e+35	1.39557e+02
2.57343e-03	9.95427e+22	1.20788e+07	3.73421e+35	1.39557e+02
2.63345e-03	9.28906e+22	1.20788e+07	3.48471e+35	1.39557e+02
2.69487e-03	8.66831e+22	1.20788e+07	3.25188e+35	1.39557e+02
2.75772e-03	8.08903e+22	1.20788e+07	3.03462e+35	1.39557e+02
2.82204e-03	7.54847e+22	1.20788e+07	2.83187e+35	1.39557e+02
2.88786e-03	7.04404e+22	1.20788e+07	2.64267e+35	1.39557e+02
2.95521e-03	6.57331e+22	1.20788e+07	2.46612e+35	1.39557e+02
3.02413e-03	6.13404e+22	1.20788e+07	2.30136e+35	1.39557e+02
3.09466e-03	5.72412e+22	1.20788e+07	2.14761e+35	1.39557e+02
