# M/Msun	Teff_K	Tcore_K
# 
2.00000e-01	1.84882e+03	5.48627e+05
2.00000e-01	1.86626e+03	5.69139e+05
2.00000e-01	1.89442e+03	5.96552e+05
2.00000e-01	1.94296e+03	6.31901e+05
2.00000e-01	1.99884e+03	6.69797e+05
2.00000e-01	2.05722e+03	7.10976e+05
2.00000e-01	2.11513e+03	7.54277e+05
2.00000e-01	2.17790e+03	8.02106e+05
2.00000e-01	2.24118e+03	8.53334e+05
2.00000e-01	2.30478e+03	9.07566e+05
2.00000e-01	2.35875e+03	9.54810e+05
2.00000e-01	2.39365e+03	9.87322e+05
2.00000e-01	2.42933e+03	1.02123e+06
2.00000e-01	2.46432e+03	1.05609e+06
2.00000e-01	2.50010e+03	1.09274e+06
2.00000e-01	2.53559e+03	1.13057e+06
2.00000e-01	2.57203e+03	1.17100e+06
2.00000e-01	2.60807e+03	1.21270e+06
2.00000e-01	2.64381e+03	1.25521e+06
2.00000e-01	2.68211e+03	1.30228e+06
2.00000e-01	2.72290e+03	1.34931e+06
2.00000e-01	2.77242e+03	1.39999e+06
2.00000e-01	2.83481e+03	1.45038e+06
2.00000e-01	2.87265e+03	1.49849e+06
2.00000e-01	2.91346e+03	1.55219e+06
2.00000e-01	2.99854e+03	1.63392e+06
2.00000e-01	3.07673e+03	1.73035e+06
2.00000e-01	3.15548e+03	1.83104e+06
2.00000e-01	3.23469e+03	1.93601e+06
2.00000e-01	3.31398e+03	2.04499e+06
2.00000e-01	3.39325e+03	2.15809e+06
2.00000e-01	3.47258e+03	2.27530e+06
2.00000e-01	3.55181e+03	2.39646e+06
2.00000e-01	3.63056e+03	2.52109e+06
2.00000e-01	3.70838e+03	2.64894e+06
2.00000e-01	3.78512e+03	2.77987e+06
2.00000e-01	3.86070e+03	2.91424e+06
2.00000e-01	3.93560e+03	3.05287e+06
2.00000e-01	4.01049e+03	3.19683e+06
2.00000e-01	4.08607e+03	3.34676e+06
2.00000e-01	4.16247e+03	3.50297e+06
2.00000e-01	4.23985e+03	3.66562e+06
2.00000e-01	4.31770e+03	3.83423e+06
2.00000e-01	4.39556e+03	4.00860e+06
2.00000e-01	4.47270e+03	4.18885e+06
2.00000e-01	4.54909e+03	4.37577e+06
2.00000e-01	4.62469e+03	4.57009e+06
2.00000e-01	4.69970e+03	4.77261e+06
2.00000e-01	4.77458e+03	4.98375e+06
2.00000e-01	4.84960e+03	5.20354e+06
2.00000e-01	4.92473e+03	5.43228e+06
2.00000e-01	5.00012e+03	5.67004e+06
2.00000e-01	5.07578e+03	5.91701e+06
2.00000e-01	5.15181e+03	6.17229e+06
2.00000e-01	5.22744e+03	6.43459e+06
2.00000e-01	5.30193e+03	6.70496e+06
2.00000e-01	5.37663e+03	6.98121e+06
2.00000e-01	5.45167e+03	7.25972e+06
2.00000e-01	5.52551e+03	7.53959e+06
2.00000e-01	5.59953e+03	7.82193e+06
2.00000e-01	5.67578e+03	8.10787e+06
2.00000e-01	5.75454e+03	8.39655e+06
2.00000e-01	5.83501e+03	8.69235e+06
2.00000e-01	5.90499e+03	8.94705e+06
2.00000e-01	5.95577e+03	9.12557e+06
2.00000e-01	5.99169e+03	9.24890e+06
2.00000e-01	6.02825e+03	9.37150e+06
2.00000e-01	6.06694e+03	9.49913e+06
2.00000e-01	6.10776e+03	9.63208e+06
2.00000e-01	6.15067e+03	9.77048e+06
2.00000e-01	6.19560e+03	9.91444e+06
2.00000e-01	6.24249e+03	1.00640e+07
2.00000e-01	6.29122e+03	1.02190e+07
2.00000e-01	6.34166e+03	1.03795e+07
2.00000e-01	6.39376e+03	1.05455e+07
2.00000e-01	6.44734e+03	1.07168e+07
2.00000e-01	6.50237e+03	1.08933e+07
2.00000e-01	6.55861e+03	1.10747e+07
2.00000e-01	6.61613e+03	1.12613e+07
2.00000e-01	6.67469e+03	1.14526e+07
2.00000e-01	6.73419e+03	1.16486e+07
2.00000e-01	6.79466e+03	1.18493e+07
2.00000e-01	6.85587e+03	1.20542e+07
2.00000e-01	6.91778e+03	1.22634e+07
2.00000e-01	6.98042e+03	1.24772e+07
2.00000e-01	7.04361e+03	1.26950e+07
2.00000e-01	7.10738e+03	1.29172e+07
2.00000e-01	7.17183e+03	1.31439e+07
2.00000e-01	7.23698e+03	1.33755e+07
2.00000e-01	7.30299e+03	1.36125e+07
2.00000e-01	7.36964e+03	1.38540e+07
2.00000e-01	7.43699e+03	1.41005e+07
2.00000e-01	7.50501e+03	1.43519e+07
2.00000e-01	7.57359e+03	1.46078e+07
2.00000e-01	7.64264e+03	1.48682e+07
2.00000e-01	7.71203e+03	1.51325e+07
2.00000e-01	7.78164e+03	1.54005e+07
2.00000e-01	7.85135e+03	1.56717e+07
2.00000e-01	7.92123e+03	1.59467e+07
2.00000e-01	7.99086e+03	1.62236e+07
2.00000e-01	8.06041e+03	1.65030e+07
2.00000e-01	8.12978e+03	1.67846e+07
2.00000e-01	8.19914e+03	1.70685e+07
2.00000e-01	8.26819e+03	1.73539e+07
2.00000e-01	8.33683e+03	1.76399e+07
2.00000e-01	8.40497e+03	1.79261e+07
2.00000e-01	8.47239e+03	1.82116e+07
2.00000e-01	8.53894e+03	1.84956e+07
2.00000e-01	8.60465e+03	1.87783e+07
2.00000e-01	8.66927e+03	1.90592e+07
2.00000e-01	8.73253e+03	1.93367e+07
2.00000e-01	8.79479e+03	1.96125e+07
2.00000e-01	8.85589e+03	1.98852e+07
2.00000e-01	8.91591e+03	2.01552e+07
2.00000e-01	8.97492e+03	2.04225e+07
2.00000e-01	9.03278e+03	2.06861e+07
2.00000e-01	9.09002e+03	2.09482e+07
2.00000e-01	9.14596e+03	2.12056e+07
2.00000e-01	9.20117e+03	2.14602e+07
2.00000e-01	9.25503e+03	2.17096e+07
2.00000e-01	9.30774e+03	2.19548e+07
2.00000e-01	9.35886e+03	2.21936e+07
2.00000e-01	9.40851e+03	2.24267e+07
2.00000e-01	9.45663e+03	2.26538e+07
2.00000e-01	9.50310e+03	2.28738e+07
2.00000e-01	9.54762e+03	2.30831e+07
2.00000e-01	9.59143e+03	2.32870e+07
2.00000e-01	9.63360e+03	2.34829e+07
2.00000e-01	9.67527e+03	2.36734e+07
2.00000e-01	9.71588e+03	2.38583e+07
2.00000e-01	9.75597e+03	2.40381e+07
2.00000e-01	9.79629e+03	2.42142e+07
2.00000e-01	9.83937e+03	2.43987e+07
2.00000e-01	9.88423e+03	2.45863e+07
2.00000e-01	9.93218e+03	2.47799e+07
2.00000e-01	9.98227e+03	2.49762e+07
2.00000e-01	1.00345e+04	2.51716e+07
2.00000e-01	1.00927e+04	2.53800e+07
2.00000e-01	1.01539e+04	2.55806e+07
2.00000e-01	1.02146e+04	2.57653e+07
2.00000e-01	1.02767e+04	2.59380e+07
2.00000e-01	1.03394e+04	2.60970e+07
2.00000e-01	1.04041e+04	2.62435e+07
2.00000e-01	1.04710e+04	2.63780e+07
2.00000e-01	1.05426e+04	2.65037e+07
2.00000e-01	1.06192e+04	2.66200e+07
2.00000e-01	1.06991e+04	2.67233e+07
2.00000e-01	1.07799e+04	2.68116e+07
2.00000e-01	1.08851e+04	2.69093e+07
2.00000e-01	1.10471e+04	2.70347e+07
2.00000e-01	1.12693e+04	2.71717e+07
2.00000e-01	1.15242e+04	2.72983e+07
2.00000e-01	1.18011e+04	2.74159e+07
2.00000e-01	1.21002e+04	2.75254e+07
2.00000e-01	1.24231e+04	2.76255e+07
2.00000e-01	1.27681e+04	2.77134e+07
2.00000e-01	1.31334e+04	2.77873e+07
2.00000e-01	1.35181e+04	2.78469e+07
2.00000e-01	1.39154e+04	2.78928e+07
2.00000e-01	1.44763e+04	2.79398e+07
2.00000e-01	1.53690e+04	2.79876e+07
2.00000e-01	1.71437e+04	2.80343e+07
2.00000e-01	2.27201e+04	2.80666e+07
2.50000e-01	1.58530e+03	3.22202e+05
2.50000e-01	1.60649e+03	3.36341e+05
2.50000e-01	1.64572e+03	3.55181e+05
2.50000e-01	1.68986e+03	3.74822e+05
2.50000e-01	1.73595e+03	3.95738e+05
2.50000e-01	1.78345e+03	4.17954e+05
2.50000e-01	1.83229e+03	4.41487e+05
2.50000e-01	1.88339e+03	4.66717e+05
2.50000e-01	1.93475e+03	4.93291e+05
2.50000e-01	1.98802e+03	5.21449e+05
2.50000e-01	2.04333e+03	5.51308e+05
2.50000e-01	2.09946e+03	5.82330e+05
2.50000e-01	2.16177e+03	6.16327e+05
2.50000e-01	2.22322e+03	6.52433e+05
2.50000e-01	2.28526e+03	6.90431e+05
2.50000e-01	2.35138e+03	7.31562e+05
2.50000e-01	2.41797e+03	7.75325e+05
2.50000e-01	2.48569e+03	8.21715e+05
2.50000e-01	2.55668e+03	8.71754e+05
2.50000e-01	2.62927e+03	9.25367e+05
2.50000e-01	2.70347e+03	9.82886e+05
2.50000e-01	2.77844e+03	1.04415e+06
2.50000e-01	2.85572e+03	1.11019e+06
2.50000e-01	2.92415e+03	1.17188e+06
2.50000e-01	2.96934e+03	1.21501e+06
2.50000e-01	3.01544e+03	1.26042e+06
2.50000e-01	3.06063e+03	1.30695e+06
2.50000e-01	3.10519e+03	1.35478e+06
2.50000e-01	3.14948e+03	1.40452e+06
2.50000e-01	3.19420e+03	1.45708e+06
2.50000e-01	3.24048e+03	1.51345e+06
2.50000e-01	3.28947e+03	1.57288e+06
2.50000e-01	3.34551e+03	1.63620e+06
2.50000e-01	3.41392e+03	1.70244e+06
2.50000e-01	3.45587e+03	1.76533e+06
2.50000e-01	3.50123e+03	1.82757e+06
2.50000e-01	3.59606e+03	1.89137e+06
2.50000e-01	3.67037e+03	1.98545e+06
2.50000e-01	3.74369e+03	2.08185e+06
2.50000e-01	3.81565e+03	2.18050e+06
2.50000e-01	3.88646e+03	2.28160e+06
2.50000e-01	3.95652e+03	2.38588e+06
2.50000e-01	4.02628e+03	2.49368e+06
2.50000e-01	4.09594e+03	2.60547e+06
2.50000e-01	4.16575e+03	2.72164e+06
2.50000e-01	4.23585e+03	2.84245e+06
2.50000e-01	4.30632e+03	2.96798e+06
