# r[m]	m[Msun]	rho[g/cm^3]	P[Pa]	ne[pm^-3]	np[pm^-3]	muF_e[MeV]	B
3.574910715181680524e-04	3.676232479196263223e-32	3.820793292719746241e+05	5.415941965544641659e+20	1.110713397522717499e-01	1.428080862923850058e-02	7.826238169792859578e-02	9.999999999544303408e-01
3.633056957536086621e-04	3.858548724122691467e-32	3.820793292719746241e+05	5.415941965544641659e+20	1.110713397522717499e-01	1.428080862923850058e-02	7.826238169792859578e-02	9.999999999544303408e-01
3.692148953720250366e-04	4.049906620618255305e-32	3.820793292719746241e+05	5.415941965544641659e+20	1.110713397522717499e-01	1.428080862923850058e-02	7.826238169792859578e-02	9.999999999544303408e-01
3.752202086504764019e-04	4.250754573393873870e-32	3.820793292719746241e+05	5.415941965544641659e+20	1.110713397522717499e-01	1.428080862923850058e-02	7.826238169792859578e-02	9.999999999544303408e-01
3.813231988862343397e-04	4.461563224998628523e-32	3.820793292719746241e+05	5.415941965544641659e+20	1.110713397522717499e-01	1.428080862923850058e-02	7.826238169792859578e-02	9.999999999544303408e-01
3.875254548037418141e-04	4.682826558666099822e-32	3.820793292719746241e+05	5.415941965544641659e+20	1.110713397522717499e-01	1.428080862923850058e-02	7.826238169792859578e-02	9.999999999544303408e-01
3.938285909681857756e-04	4.915063055854224330e-32	3.820793292719746241e+05	5.415941965544641659e+20	1.110713397522717499e-01	1.428080862923850058e-02	7.826238169792859578e-02	9.999999999544303408e-01
4.002342482058002769e-04	5.158816911191420875e-32	3.820793292719746241e+05	5.415941965544641659e+20	1.110713397522717499e-01	1.428080862923850058e-02	7.826238169792859578e-02	9.999999999544303408e-01
4.067440940310058082e-04	5.414659307675825363e-32	3.820793292719746241e+05	5.415941965544641659e+20	1.110713397522717499e-01	1.428080862923850058e-02	7.826238169792859578e-02	9.999999999544303408e-01
4.133598230804925674e-04	5.683189755115634896e-32	3.820793292719746241e+05	5.415941965544641659e+20	1.110713397522717499e-01	1.428080862923850058e-02	7.826238169792859578e-02	9.999999999544303408e-01
4.200831575543694223e-04	5.965037494947246840e-32	3.820793292719746241e+05	5.415941965544641659e+20	1.110713397522717499e-01	1.428080862923850058e-02	7.826238169792859578e-02	9.999999999544303408e-01
4.269158476644829728e-04	6.260862974722646972e-32	3.820793292719746241e+05	5.415941965544641659e+20	1.110713397522717499e-01	1.428080862923850058e-02	7.826238169792859578e-02	9.999999999544303408e-01
4.338596720900316124e-04	6.571359395721523369e-32	3.820793292719746241e+05	5.415941965544641659e+20	1.110713397522717499e-01	1.428080862923850058e-02	7.826238169792859578e-02	9.999999999544303408e-01
4.409164384405915766e-04	6.897254337314523591e-32	3.820793292719746241e+05	5.415941965544641659e+20	1.110713397522717499e-01	1.428080862923850058e-02	7.826238169792859578e-02	9.999999999544303408e-01
4.480879837266683830e-04	7.239311461883683618e-32	3.820793292719746241e+05	5.415941965544641659e+20	1.110713397522717499e-01	1.428080862923850058e-02	7.826238169792859578e-02	9.999999999544303408e-01
4.553761748379096244e-04	7.598332304295708474e-32	3.820793292719746241e+05	5.415941965544641659e+20	1.110713397522717499e-01	1.428080862923850058e-02	7.826238169792859578e-02	9.999999999544303408e-01
