xWS	rho[g/cm^3]	n_e[pm^-3]	P[N/m^2]	mu_F_e[MeV]
1.00000e-03	1.70778e+24	1.51611e+06	4.25854e+30	6.96263e+01
1.02332e-03	1.59366e+24	1.51621e+06	4.25893e+30	6.96279e+01
1.04719e-03	1.48716e+24	1.51631e+06	4.25930e+30	6.96294e+01
1.07161e-03	1.38778e+24	1.51641e+06	4.25967e+30	6.96309e+01
1.09660e-03	1.29504e+24	1.51651e+06	4.26003e+30	6.96324e+01
1.12218e-03	1.20850e+24	1.51660e+06	4.26039e+30	6.96339e+01
1.14835e-03	1.12774e+24	1.51669e+06	4.26073e+30	6.96353e+01
1.17513e-03	1.05238e+24	1.51678e+06	4.26107e+30	6.96367e+01
1.20254e-03	9.82051e+23	1.51687e+06	4.26139e+30	6.96380e+01
1.23059e-03	9.16424e+23	1.51695e+06	4.26171e+30	6.96393e+01
1.25929e-03	8.55183e+23	1.51704e+06	4.26203e+30	6.96406e+01
1.28866e-03	7.98035e+23	1.51712e+06	4.26234e+30	6.96419e+01
1.31871e-03	7.44705e+23	1.51720e+06	4.26263e+30	6.96431e+01
1.34947e-03	6.94939e+23	1.51728e+06	4.26293e+30	6.96443e+01
1.38094e-03	6.48499e+23	1.51735e+06	4.26321e+30	6.96455e+01
1.41315e-03	6.05163e+23	1.51743e+06	4.26349e+30	6.96467e+01
1.44611e-03	5.64722e+23	1.51750e+06	4.26377e+30	6.96478e+01
1.47983e-03	5.26984e+23	1.51757e+06	4.26403e+30	6.96489e+01
1.51435e-03	4.91768e+23	1.51764e+06	4.26429e+30	6.96500e+01
1.54966e-03	4.58905e+23	1.51771e+06	4.26455e+30	6.96510e+01
1.58581e-03	4.28238e+23	1.51778e+06	4.26480e+30	6.96520e+01
1.62279e-03	3.99620e+23	1.51784e+06	4.26504e+30	6.96530e+01
1.66064e-03	3.72915e+23	1.51791e+06	4.26528e+30	6.96540e+01
1.69937e-03	3.47995e+23	1.51797e+06	4.26551e+30	6.96550e+01
1.73900e-03	3.24740e+23	1.51803e+06	4.26574e+30	6.96559e+01
1.77956e-03	3.03039e+23	1.51809e+06	4.26596e+30	6.96568e+01
1.82106e-03	2.82788e+23	1.51815e+06	4.26618e+30	6.96577e+01
1.86354e-03	2.63890e+23	1.51820e+06	4.26639e+30	6.96586e+01
1.90700e-03	2.46255e+23	1.51826e+06	4.26660e+30	6.96594e+01
1.95147e-03	2.29799e+23	1.51831e+06	4.26680e+30	6.96603e+01
1.99699e-03	2.14442e+23	1.51837e+06	4.26700e+30	6.96611e+01
2.04356e-03	2.00112e+23	1.51842e+06	4.26719e+30	6.96619e+01
2.09122e-03	1.86739e+23	1.51847e+06	4.26738e+30	6.96627e+01
2.14000e-03	1.74260e+23	1.51852e+06	4.26757e+30	6.96634e+01
2.18991e-03	1.62615e+23	1.51856e+06	4.26775e+30	6.96642e+01
2.24098e-03	1.51748e+23	1.51861e+06	4.26792e+30	6.96649e+01
2.29325e-03	1.41607e+23	1.51866e+06	4.26810e+30	6.96656e+01
2.34673e-03	1.32144e+23	1.51870e+06	4.26826e+30	6.96663e+01
2.40146e-03	1.23314e+23	1.51875e+06	4.26843e+30	6.96670e+01
2.45747e-03	1.15073e+23	1.51879e+06	4.26859e+30	6.96676e+01
2.51478e-03	1.07383e+23	1.51883e+06	4.26875e+30	6.96683e+01
2.57343e-03	1.00207e+23	1.51887e+06	4.26890e+30	6.96689e+01
2.63345e-03	9.35106e+22	1.51891e+06	4.26905e+30	6.96695e+01
2.69487e-03	8.72617e+22	1.51895e+06	4.26920e+30	6.96701e+01
2.75772e-03	8.14303e+22	1.51899e+06	4.26934e+30	6.96707e+01
2.82204e-03	7.59886e+22	1.51903e+06	4.26948e+30	6.96713e+01
2.88786e-03	7.09106e+22	1.51906e+06	4.26962e+30	6.96718e+01
2.95521e-03	6.61719e+22	1.51910e+06	4.26975e+30	6.96724e+01
3.02413e-03	6.17499e+22	1.51913e+06	4.26988e+30	6.96729e+01
3.09466e-03	5.76234e+22	1.51917e+06	4.27001e+30	6.96735e+01
3.16684e-03	5.37726e+22	1.51920e+06	4.27014e+30	6.96740e+01
3.24070e-03	5.01792e+22	1.51923e+06	4.27026e+30	6.96745e+01
3.31628e-03	4.68259e+22	1.51927e+06	4.27038e+30	6.96750e+01
3.39362e-03	4.36967e+22	1.51930e+06	4.27049e+30	6.96754e+01
3.47277e-03	4.07766e+22	1.51933e+06	4.27061e+30	6.96759e+01
3.55376e-03	3.80517e+22	1.51936e+06	4.27072e+30	6.96764e+01
3.63664e-03	3.55088e+22	1.51939e+06	4.27083e+30	6.96768e+01
3.72146e-03	3.31359e+22	1.51942e+06	4.27093e+30	6.96772e+01
3.80825e-03	3.09215e+22	1.51944e+06	4.27104e+30	6.96777e+01
3.89707e-03	2.88552e+22	1.51947e+06	4.27114e+30	6.96781e+01
3.98796e-03	2.69269e+22	1.51950e+06	4.27124e+30	6.96785e+01
4.08097e-03	2.51275e+22	1.51952e+06	4.27133e+30	6.96789e+01
4.17615e-03	2.34483e+22	1.51955e+06	4.27143e+30	6.96793e+01
4.27355e-03	2.18813e+22	1.51957e+06	4.27152e+30	6.96797e+01
4.37322e-03	2.04191e+22	1.51960e+06	4.27161e+30	6.96800e+01
4.47521e-03	1.90545e+22	1.51962e+06	4.27170e+30	6.96804e+01
4.57958e-03	1.77812e+22	1.51964e+06	4.27179e+30	6.96808e+01
4.68639e-03	1.65930e+22	1.51967e+06	4.27187e+30	6.96811e+01
4.79569e-03	1.54841e+22	1.51969e+06	4.27195e+30	6.96814e+01
4.90754e-03	1.44494e+22	1.51971e+06	4.27203e+30	6.96818e+01
5.02199e-03	1.34838e+22	1.51973e+06	4.27211e+30	6.96821e+01
5.13912e-03	1.25827e+22	1.51975e+06	4.27219e+30	6.96824e+01
5.25898e-03	1.17418e+22	1.51977e+06	4.27227e+30	6.96827e+01
5.38163e-03	1.09572e+22	1.51979e+06	4.27234e+30	6.96830e+01
5.50714e-03	1.02249e+22	1.51981e+06	4.27241e+30	6.96833e+01
5.63558e-03	9.54165e+21	1.51983e+06	4.27248e+30	6.96836e+01
5.76702e-03	8.90402e+21	1.51985e+06	4.27255e+30	6.96839e+01
