# r[m]	m[Msun]	rho[g/cm^3]	P[Pa]	ne[pm^-3]	np[pm^-3]	muF_e[MeV]	B
4.332461318343055221e-05	3.219128696140356988e-32	1.879664900038749874e+08	4.941713361323818396e+24	5.526514415939063696e+01	9.355499516519000025e+00	1.869773282078281307e+00	9.970747465163730672e-01
4.402929188977598902e-05	3.378775687764655213e-32	1.879664900038749874e+08	4.941713361323818396e+24	5.526514415939063696e+01	9.355499516519000025e+00	1.869773282078281307e+00	9.970747465163730672e-01
4.474543225827347235e-05	3.546340089452505564e-32	1.879664900038749874e+08	4.941713361323818396e+24	5.526514415939063696e+01	9.355499516519000025e+00	1.869773282078281307e+00	9.970747465163730672e-01
4.547322071388240877e-05	3.722214551146590842e-32	1.879664900038749874e+08	4.941713361323818396e+24	5.526514415939063696e+01	9.355499516519000025e+00	1.869773282078281307e+00	9.970747465163730672e-01
4.621284671378111036e-05	3.906811195568798651e-32	1.879664900038749874e+08	4.941713361323818396e+24	5.526514415939063696e+01	9.355499516519000025e+00	1.869773282078281307e+00	9.970747465163730672e-01
4.696450279668553876e-05	4.100562583938109865e-32	1.879664900038749874e+08	4.941713361323818396e+24	5.526514415939063696e+01	9.355499516519000025e+00	1.869773282078281307e+00	9.970747465163730672e-01
4.772838463297120589e-05	4.303922729581799989e-32	1.879664900038749874e+08	4.941713361323818396e+24	5.526514415939063696e+01	9.355499516519000025e+00	1.869773282078281307e+00	9.970747465163730672e-01
4.850469107560973739e-05	4.517368161814750874e-32	1.879664900038749874e+08	4.941713361323818396e+24	5.526514415939063696e+01	9.355499516519000025e+00	1.869773282078281307e+00	9.970747465163730672e-01
4.929362421193404439e-05	4.741399042580002270e-32	1.879664900038749874e+08	4.941713361323818396e+24	5.526514415939063696e+01	9.355499516519000025e+00	1.869773282078281307e+00	9.970747465163730672e-01
5.009538941624586611e-05	4.976540338467237638e-32	1.879664900038749874e+08	4.941713361323818396e+24	5.526514415939063696e+01	9.355499516519000025e+00	1.869773282078281307e+00	9.970747465163730672e-01
5.091019540327800934e-05	5.223343050855169546e-32	1.879664900038749874e+08	4.941713361323818396e+24	5.526514415939063696e+01	9.355499516519000025e+00	1.869773282078281307e+00	9.970747465163730672e-01
5.173825428252718206e-05	5.482385507060952979e-32	1.879664900038749874e+08	4.941713361323818396e+24	5.526514415939063696e+01	9.355499516519000025e+00	1.869773282078281307e+00	9.970747465163730672e-01
5.257978161346999764e-05	5.754274715521716863e-32	1.879664900038749874e+08	4.941713361323818396e+24	5.526514415939063696e+01	9.355499516519000025e+00	1.869773282078281307e+00	9.970747465163730672e-01
