R	M	xws0
284300.0	1.152139647723462	1.0
330759.81355029304	1.1850276766003827	1.0689655172413792
382094.4648193088	1.2176512020709964	1.1379310344827587
433865.9133034932	1.235585424902463	1.206896551724138
526132.7235150007	1.256313067194791	1.2758620689655173
604170.3127408738	1.2979085531226677	1.3448275862068966
685290.3113416131	1.339511472492349	1.4137931034482758
762368.6347354042	1.352849638419214	1.4827586206896552
885084.0906946354	1.3620001586027422	1.5517241379310345
1015522.3541299562	1.360504987632421	1.6206896551724137
1171492.0076674998	1.3571646736599092	1.6896551724137931
1348496.6803397974	1.3533007345483514	1.7586206896551724
1548555.8570721676	1.3493042898441074	1.8275862068965516
1772376.771271545	1.346132453393243	1.896551724137931
2017120.7404041924	1.3432570991386215	1.9655172413793103
2280559.203149509	1.3378160034435915	2.0344827586206895
2562272.567561274	1.318961308950388	2.103448275862069
2893685.2140159844	1.2922820168074487	2.1724137931034484
3254083.211437463	1.25889912707719	2.2413793103448274
3653340.508507254	1.2199266525699088	2.310344827586207
4075699.3386259284	1.1728482327051322	2.3793103448275863
4548950.848184467	1.1166162396744757	2.4482758620689653
5048433.0222688345	1.0516917994179171	2.5172413793103448
5595160.726907002	0.977302585787502	2.586206896551724
6188935.852441179	0.8949348659296684	2.655172413793103
6833603.0642125355	0.8081475845559406	2.7241379310344827
7529831.377993143	0.7186292948607632	2.793103448275862
8291728.805160423	0.6325827264474851	2.862068965517241
9080276.818573875	0.5477812199839147	2.9310344827586206
9957883.928232115	0.4654639294255355	3.0
