# r[m]	m[Msun]	rho[kg/m^3]	P[Pa]	ne[pm^-3]	np[pm^-3]	muF_e[MeV]	B
2.133863656475323866e-04	3.994521466854168423e-32	1.952139878051789245e+06	7.147705767941875171e+21	5.742952336025135551e-01	9.729068224934489528e-02	2.091635743839792561e-01	9.999999999170440246e-01
2.168571139600358668e-04	4.192622690929661214e-32	1.952139878051789245e+06	7.147705767941875171e+21	5.742952336025135551e-01	9.729068224934489528e-02	2.091635743839792561e-01	9.999999999170440246e-01
2.203843143041025565e-04	4.400548394684582960e-32	1.952139878051789245e+06	7.147705767941875171e+21	5.742952336025135551e-01	9.729068224934489528e-02	2.091635743839792561e-01	9.999999999170440246e-01
2.239688848770727463e-04	4.618785805804820113e-32	1.952139878051789245e+06	7.147705767941875171e+21	5.742952336025135551e-01	9.729068224934489528e-02	2.091635743839792561e-01	9.999999999170440246e-01
2.276117588108475575e-04	4.847846315171158654e-32	1.952139878051789245e+06	7.147705767941875171e+21	5.742952336025135551e-01	9.729068224934489528e-02	2.091635743839792561e-01	9.999999999170440246e-01
2.313138844148028399e-04	5.088266675190300939e-32	1.952139878051789245e+06	7.147705767941875171e+21	5.742952336025135551e-01	9.729068224934489528e-02	2.091635743839792561e-01	9.999999999170440246e-01
2.350762254226505680e-04	5.340610257554764874e-32	1.952139878051789245e+06	7.147705767941875171e+21	5.742952336025135551e-01	9.729068224934489528e-02	2.091635743839792561e-01	9.999999999170440246e-01
2.388997612433176130e-04	5.605468373379302180e-32	1.952139878051789245e+06	7.147705767941875171e+21	5.742952336025135551e-01	9.729068224934489528e-02	2.091635743839792561e-01	9.999999999170440246e-01
2.427854872159053976e-04	5.883461658807163257e-32	1.952139878051789245e+06	7.147705767941875171e+21	5.742952336025135551e-01	9.729068224934489528e-02	2.091635743839792561e-01	9.999999999170440246e-01
2.467344148687937509e-04	6.175241529332867218e-32	1.952139878051789245e+06	7.147705767941875171e+21	5.742952336025135551e-01	9.729068224934489528e-02	2.091635743839792561e-01	9.999999999170440246e-01
2.507475721829630143e-04	6.481491706249818645e-32	1.952139878051789245e+06	7.147705767941875171e+21	5.742952336025135551e-01	9.729068224934489528e-02	2.091635743839792561e-01	9.999999999170440246e-01
2.548260038595954124e-04	6.802929818799111937e-32	1.952139878051789245e+06	7.147705767941875171e+21	5.742952336025135551e-01	9.729068224934489528e-02	2.091635743839792561e-01	9.999999999170440246e-01
2.589707715920312302e-04	7.140309085774246647e-32	1.952139878051789245e+06	7.147705767941875171e+21	5.742952336025135551e-01	9.729068224934489528e-02	2.091635743839792561e-01	9.999999999170440246e-01
2.631829543421485354e-04	7.494420080522062751e-32	1.952139878051789245e+06	7.147705767941875171e+21	5.742952336025135551e-01	9.729068224934489528e-02	2.091635743839792561e-01	9.999999999170440246e-01
2.674636486212358878e-04	7.866092583475588546e-32	1.952139878051789245e+06	7.147705767941875171e+21	5.742952336025135551e-01	9.729068224934489528e-02	2.091635743839792561e-01	9.999999999170440246e-01
2.718139687754369681e-04	8.256197526560270110e-32	1.952139878051789245e+06	7.147705767941875171e+21	5.742952336025135551e-01	9.729068224934489528e-02	2.091635743839792561e-01	9.999999999170440246e-01
2.762350472758342353e-04	8.665649034029249634e-32	1.952139878051789245e+06	7.147705767941875171e+21	5.742952336025135551e-01	9.729068224934489528e-02	2.091635743839792561e-01	9.999999999170440246e-01
2.807280350132536351e-04	9.095406564510526802e-32	1.952139878051789245e+06	7.147705767941875171e+21	5.742952336025135551e-01	9.729068224934489528e-02	2.091635743839792561e-01	9.999999999170440246e-01
2.852941015978640834e-04	9.546477159285123708e-32	1.952139878051789245e+06	7.147705767941875171e+21	5.742952336025135551e-01	9.729068224934489528e-02	2.091635743839792561e-01	9.999999999170440246e-01
2.899344356636476198e-04	1.001991780206441956e-31	1.952139878051789245e+06	7.147705767941875171e+21	5.742952336025135551e-01	9.729068224934489528e-02	2.091635743839792561e-01	9.999999999170440246e-01
2.946502451778241485e-04	1.051683789579666824e-31	1.952139878051789245e+06	7.147705767941875171e+21	5.742952336025135551e-01	9.729068224934489528e-02	2.091635743839792561e-01	9.999999999170440246e-01
2.994427577553094243e-04	1.103840186230642930e-31	1.952139878051789245e+06	7.147705767941875171e+21	5.742952336025135551e-01	9.729068224934489528e-02	2.091635743839792561e-01	9.999999999170440246e-01
3.043132209782841856e-04	1.158583187085813440e-31	1.952139878051789245e+06	7.147705767941875171e+21	5.742952336025135551e-01	9.729068224934489528e-02	2.091635743839792561e-01	9.999999999170440246e-01
3.092629027209663184e-04	1.216041070203848360e-31	1.952139878051789245e+06	7.147705767941875171e+21	5.742952336025135551e-01	9.729068224934489528e-02	2.091635743839792561e-01	9.999999999170440246e-01
3.142930914796599959e-04	1.276348475366742873e-31	1.952139878051789245e+06	7.147705767941875171e+21	5.742952336025135551e-01	9.729068224934489528e-02	2.091635743839792561e-01	9.999999999170440246e-01
3.194050967081771470e-04	1.339646719578245365e-31	1.952139878051789245e+06	7.147705767941875171e+21	5.742952336025135551e-01	9.729068224934489528e-02	2.091635743839792561e-01	9.999999999170440246e-01
3.246002491587139270e-04	1.406084128208864195e-31	1.952139878051789245e+06	7.147705767941875171e+21	5.742952336025135551e-01	9.729068224934489528e-02	2.091635743839792561e-01	9.999999999170440246e-01
3.298799012282685982e-04	1.475816382563388105e-31	1.952139878051789245e+06	7.147705767941875171e+21	5.742952336025135551e-01	9.729068224934489528e-02	2.091635743839792561e-01	9.999999999170440246e-01
3.352454273106987809e-04	1.549006884685464845e-31	1.952139878051789245e+06	7.147705767941875171e+21	5.742952336025135551e-01	9.729068224934489528e-02	2.091635743839792561e-01	9.999999999170440246e-01
3.406982241545002013e-04	1.625827140253955401e-31	1.952139878051789245e+06	7.147705767941875171e+21	5.742952336025135551e-01	9.729068224934489528e-02	2.091635743839792561e-01	9.999999999170440246e-01
3.462397112264074968e-04	1.706457160468390133e-31	1.952139878051789245e+06	7.147705767941875171e+21	5.742952336025135551e-01	9.729068224934489528e-02	2.091635743839792561e-01	9.999999999170440246e-01
3.518713310809098321e-04	1.791085883865239225e-31	1.952139878051789245e+06	7.147705767941875171e+21	5.742952336025135551e-01	9.729068224934489528e-02	2.091635743839792561e-01	9.999999999170440246e-01
3.575945497357726696e-04	1.879911619053351002e-31	1.952139878051789245e+06	7.147705767941875171e+21	5.742952336025135551e-01	9.729068224934489528e-02	2.091635743839792561e-01	9.999999999170440246e-01
3.634108570536728690e-04	1.973142509406156776e-31	1.952139878051789245e+06	7.147705767941875171e+21	5.742952336025135551e-01	9.729068224934489528e-02	2.091635743839792561e-01	9.999999999170440246e-01
3.693217671300358558e-04	2.070997020799378223e-31	1.952139878051789245e+06	7.147705767941875171e+21	5.742952336025135551e-01	9.729068224934489528e-02	2.091635743839792561e-01	9.999999999170440246e-01
3.753288186871844736e-04	2.173704453537280611e-31	1.952139878051789245e+06	7.147705767941875171e+21	5.742952336025135551e-01	9.729068224934489528e-02	2.091635743839792561e-01	9.999999999170440246e-01
