r[m]	m[Msun]	rho[kg/m^3]	P[Pa]	ne[pm^-3]	np[pm^-3]	muF_e[MeV]	B
491.6620262745641	8.515238767141935e-11	340206810.9103587	1.1006941712522125e+25	99.95545725133019	16.92937340930414	2.3679967491782934	0.998878897539783
983.3240525491282	6.812188419533486e-10	340206542.87211066	1.100692996274135e+25	99.95537833878247	16.92936007702329	2.3679960134648903	0.998878897539783
1474.9860788236922	2.299111801455588e-09	340206096.1422697	1.1006910379805731e+25	99.95524681803786	16.929337856583565	2.367994787276163	0.998878897539783
1966.6481050982563	5.449740493456024e-09	340205470.7217164	1.1006882963764815e+25	99.95506268935658	16.929306748028843	2.367993070612601	0.998878897539783
2458.3101313728203	1.0644009314874774e-08	340204666.61167395	1.1006847714687725e+25	99.95482595309946	16.929266751419977	2.3679908634748585	0.998878897539783
2949.9721576473844	1.839281622218254e-08	340203683.8137227	1.1006804632663286e+25	99.9545366097322	16.92921786683548	2.367988165863792	0.998878897539783
3441.6341839219485	2.9207051121347533e-08	340202522.32978994	1.100675371780005e+25	99.95419465982293	16.92916009437115	2.3679849777804396	0.998878897539783
3933.2962101965127	4.359759425782178e-08	340201182.1621494	1.10066949702263e+25	99.95380010404278	16.929093434140153	2.367981299226024	0.998878897539783
4424.958236471077	6.207531460657488e-08	340199663.31343055	1.1006628390090062e+25	99.95335294316664	16.929017886273137	2.3679771302019614	0.998878897539783
4916.6202627456405	8.515106826218264e-08	340197965.7866126	1.1006553977559082e+25	99.95285317807327	16.928933450918276	2.3679724707098626	0.998878897539783
5408.282289020204	1.1333569682897915e-07	340196089.58501846	1.1006471732820844e+25	99.95230080974261	16.928840128240804	2.3679673207515073	0.998878897539783
5899.944315294768	1.471400258112799e-07	340194034.71232945	1.1006381656082566e+25	99.95169583926007	16.928737918423746	2.3679616803288837	0.998878897539783
6391.606341569332	1.8707486300368365e-07	340191801.17257386	1.100628374757119e+25	99.95103826781364	16.928626821667386	2.367955549444162	0.998878897539783
6883.268367843895	2.336509968814608e-07	340189388.9701266	1.1006178007533392e+25	99.95032809669347	16.92850683818929	2.367948928099692	0.998878897539783
7374.930394118459	2.873791949910376e-07	340186798.10971946	1.1006064436235572e+25	99.9495653272947	16.928377968224694	2.367941816298027	0.998878897539783
7866.592420393023	3.4877020234058153e-07	340184028.5964306	1.1005943033963863e+25	99.9487499611155	16.9282402120262	2.367934214041907	0.998878897539783
8358.254446667586	4.183347397906972e-07	340181080.43568695	1.100581380102412e+25	99.94788199975574	16.92809356986357	2.367926121334246	0.998878897539783
8849.91647294215	4.965835024452425e-07	340177953.6332689	1.1005676737741925e+25	99.94696144491989	16.92793804202419	2.3679175381781596	0.998878897539783
9341.578499216714	5.84027158042268e-07	340174648.1953051	1.1005531844462578e+25	99.94598829841512	16.9277736288128	2.3679084645769466	0.998878897539783
9833.240525491277	6.811763453450928e-07	340171164.1282766	1.10053791215511e+25	99.94496256215302	16.927600330551716	2.367898900534106	0.998878897539783
10324.902551765841	7.885416725335224e-07	340167501.43901086	1.1005218569392238e+25	99.94388423814696	16.9274181475804	2.367888846053311	0.998878897539783
10816.564578040405	9.066337155952131e-07	340163660.13468677	1.1005050188390447e+25	99.94275332851336	16.927227080255726	2.3678783011384237	0.998878897539783
11308.226604314968	1.0359630167171985e-06	340159640.2228322	1.1004873978969901e+25	99.94156983547313	16.927027128952158	2.367867265793503	0.998878897539783
11799.888630589532	1.1770400826775807e-06	340155441.7113276	1.1004689941574494e+25	99.94033376134907	16.926818294061377	2.3678557400227893	0.998878897539783
