xWS	rho[g/cm^3]	n_e[pm^-3]	P[N/m^2]	mu_F_e[MeV]
1.00000e-03	5.65447e+23	1.20788e+07	2.51276e+37	1.39557e+02
1.02332e-03	5.27660e+23	1.20788e+07	2.34484e+37	1.39557e+02
1.04719e-03	4.92398e+23	1.20788e+07	2.18815e+37	1.39557e+02
1.07161e-03	4.59493e+23	1.20788e+07	2.04192e+37	1.39557e+02
1.09660e-03	4.28787e+23	1.20788e+07	1.90547e+37	1.39557e+02
1.12218e-03	4.00133e+23	1.20788e+07	1.77813e+37	1.39557e+02
1.14835e-03	3.73393e+23	1.20788e+07	1.65931e+37	1.39557e+02
1.17513e-03	3.48441e+23	1.20788e+07	1.54842e+37	1.39557e+02
1.20254e-03	3.25156e+23	1.20788e+07	1.44495e+37	1.39557e+02
1.23059e-03	3.03427e+23	1.20788e+07	1.34839e+37	1.39557e+02
1.25929e-03	2.83150e+23	1.20788e+07	1.25828e+37	1.39557e+02
1.28866e-03	2.64228e+23	1.20788e+07	1.17419e+37	1.39557e+02
1.31871e-03	2.46570e+23	1.20788e+07	1.09573e+37	1.39557e+02
1.34947e-03	2.30093e+23	1.20788e+07	1.02250e+37	1.39557e+02
1.38094e-03	2.14717e+23	1.20788e+07	9.54175e+36	1.39557e+02
1.41315e-03	2.00368e+23	1.20788e+07	8.90411e+36	1.39557e+02
1.44611e-03	1.86978e+23	1.20788e+07	8.30908e+36	1.39557e+02
1.47983e-03	1.74483e+23	1.20788e+07	7.75382e+36	1.39557e+02
1.51435e-03	1.62823e+23	1.20788e+07	7.23567e+36	1.39557e+02
1.54966e-03	1.51942e+23	1.20788e+07	6.75214e+36	1.39557e+02
1.58581e-03	1.41788e+23	1.20788e+07	6.30092e+36	1.39557e+02
1.62279e-03	1.32313e+23	1.20788e+07	5.87986e+36	1.39557e+02
1.66064e-03	1.23471e+23	1.20788e+07	5.48693e+36	1.39557e+02
1.69937e-03	1.15220e+23	1.20788e+07	5.12027e+36	1.39557e+02
1.73900e-03	1.07520e+23	1.20788e+07	4.77810e+36	1.39557e+02
1.77956e-03	1.00335e+23	1.20788e+07	4.45880e+36	1.39557e+02
1.82106e-03	9.36301e+22	1.20788e+07	4.16084e+36	1.39557e+02
1.86354e-03	8.73731e+22	1.20788e+07	3.88279e+36	1.39557e+02
1.90700e-03	8.15343e+22	1.20788e+07	3.62332e+36	1.39557e+02
1.95147e-03	7.60857e+22	1.20788e+07	3.38120e+36	1.39557e+02
1.99699e-03	7.10011e+22	1.20788e+07	3.15525e+36	1.39557e+02
2.04356e-03	6.62564e+22	1.20788e+07	2.94440e+36	1.39557e+02
2.09122e-03	6.18287e+22	1.20788e+07	2.74764e+36	1.39557e+02
2.14000e-03	5.76969e+22	1.20788e+07	2.56403e+36	1.39557e+02
2.18991e-03	5.38412e+22	1.20788e+07	2.39269e+36	1.39557e+02
2.24098e-03	5.02432e+22	1.20788e+07	2.23280e+36	1.39557e+02
2.29325e-03	4.68857e+22	1.20788e+07	2.08359e+36	1.39557e+02
2.34673e-03	4.37525e+22	1.20788e+07	1.94436e+36	1.39557e+02
2.40146e-03	4.08286e+22	1.20788e+07	1.81443e+36	1.39557e+02
2.45747e-03	3.81002e+22	1.20788e+07	1.69318e+36	1.39557e+02
2.51478e-03	3.55541e+22	1.20788e+07	1.58004e+36	1.39557e+02
2.57343e-03	3.31782e+22	1.20788e+07	1.47445e+36	1.39557e+02
2.63345e-03	3.09610e+22	1.20788e+07	1.37593e+36	1.39557e+02
2.69487e-03	2.88920e+22	1.20788e+07	1.28398e+36	1.39557e+02
2.75772e-03	2.69612e+22	1.20788e+07	1.19818e+36	1.39557e+02
2.82204e-03	2.51595e+22	1.20788e+07	1.11812e+36	1.39557e+02
2.88786e-03	2.34782e+22	1.20788e+07	1.04340e+36	1.39557e+02
2.95521e-03	2.19092e+22	1.20788e+07	9.73679e+35	1.39557e+02
3.02413e-03	2.04451e+22	1.20788e+07	9.08616e+35	1.39557e+02
3.09466e-03	1.90788e+22	1.20788e+07	8.47901e+35	1.39557e+02
3.16684e-03	1.78039e+22	1.20788e+07	7.91244e+35	1.39557e+02
3.24070e-03	1.66141e+22	1.20788e+07	7.38372e+35	1.39557e+02
3.31628e-03	1.55038e+22	1.20788e+07	6.89034e+35	1.39557e+02
3.39362e-03	1.44678e+22	1.20788e+07	6.42993e+35	1.39557e+02
3.47277e-03	1.35009e+22	1.20788e+07	6.00029e+35	1.39557e+02
3.55376e-03	1.25987e+22	1.20788e+07	5.59935e+35	1.39557e+02
3.63664e-03	1.17568e+22	1.20788e+07	5.22521e+35	1.39557e+02
3.72146e-03	1.09711e+22	1.20788e+07	4.87608e+35	1.39557e+02
3.80825e-03	1.02380e+22	1.20788e+07	4.55027e+35	1.39557e+02
3.89707e-03	9.55381e+21	1.20788e+07	4.24624e+35	1.39557e+02
3.98796e-03	8.91536e+21	1.20788e+07	3.96252e+35	1.39557e+02
4.08097e-03	8.31958e+21	1.20788e+07	3.69777e+35	1.39557e+02
4.17615e-03	7.76361e+21	1.20788e+07	3.45070e+35	1.39557e+02
4.27355e-03	7.24480e+21	1.20788e+07	3.22015e+35	1.39557e+02
4.37322e-03	6.76065e+21	1.20788e+07	3.00501e+35	1.39557e+02
4.47521e-03	6.30886e+21	1.20788e+07	2.80424e+35	1.39557e+02
4.57958e-03	5.88726e+21	1.20788e+07	2.61689e+35	1.39557e+02
4.68639e-03	5.49384e+21	1.20788e+07	2.44205e+35	1.39557e+02
4.79569e-03	5.12671e+21	1.20788e+07	2.27891e+35	1.39557e+02
4.90754e-03	4.78411e+21	1.20788e+07	2.12666e+35	1.39557e+02
5.02199e-03	4.46440e+21	1.20788e+07	1.98459e+35	1.39557e+02
5.13912e-03	4.16606e+21	1.20788e+07	1.85201e+35	1.39557e+02
5.25898e-03	3.88766e+21	1.20788e+07	1.72829e+35	1.39557e+02
5.38163e-03	3.62786e+21	1.20788e+07	1.61284e+35	1.39557e+02
5.50714e-03	3.38542e+21	1.20788e+07	1.50511e+35	1.39557e+02
5.63558e-03	3.15919e+21	1.20788e+07	1.40457e+35	1.39557e+02
5.76702e-03	2.94807e+21	1.20788e+07	1.31075e+35	1.39557e+02
5.90152e-03	2.75106e+21	1.20788e+07	1.22321e+35	1.39557e+02
6.03916e-03	2.56722e+21	1.20788e+07	1.14151e+35	1.39557e+02
6.18000e-03	2.39566e+21	1.20788e+07	1.06527e+35	1.39557e+02
6.32414e-03	2.23557e+21	1.20788e+07	9.94129e+34	1.39557e+02
6.47163e-03	2.08617e+21	1.20788e+07	9.27740e+34	1.39557e+02
6.62257e-03	1.94676e+21	1.20788e+07	8.65788e+34	1.39557e+02
6.77702e-03	1.81667e+21	1.20788e+07	8.07976e+34	1.39557e+02
6.93508e-03	1.69527e+21	1.20788e+07	7.54027e+34	1.39557e+02
7.09682e-03	1.58198e+21	1.20788e+07	7.03683e+34	1.39557e+02
7.26234e-03	1.47626e+21	1.20788e+07	6.56704e+34	1.39557e+02
7.43171e-03	1.37761e+21	1.20788e+07	6.12864e+34	1.39557e+02
7.60504e-03	1.28555e+21	1.20788e+07	5.71954e+34	1.39557e+02
7.78241e-03	1.19964e+21	1.20788e+07	5.33778e+34	1.39557e+02
7.96391e-03	1.11947e+21	1.20788e+07	4.98153e+34	1.39557e+02
8.14965e-03	1.04466e+21	1.20788e+07	4.64908e+34	1.39557e+02
8.33972e-03	9.74849e+20	1.20788e+07	4.33885e+34	1.39557e+02
8.53422e-03	9.09703e+20	1.20788e+07	4.04936e+34	1.39557e+02
8.73326e-03	8.48911e+20	1.20788e+07	3.77920e+34	1.39557e+02
8.93694e-03	7.92182e+20	1.20788e+07	3.52711e+34	1.39557e+02
9.14537e-03	7.39243e+20	1.20788e+07	3.29186e+34	1.39557e+02
9.35867e-03	6.89842e+20	1.20788e+07	3.07233e+34	1.39557e+02
9.57693e-03	6.43742e+20	1.20788e+07	2.86747e+34	1.39557e+02
9.80029e-03	6.00723e+20	1.20788e+07	2.67630e+34	1.39557e+02
1.00289e-02	5.60579e+20	1.20788e+07	2.49790e+34	1.39557e+02
1.02628e-02	5.23118e+20	1.20788e+07	2.33143e+34	1.39557e+02
1.05021e-02	4.88160e+20	1.20788e+07	2.17608e+34	1.39557e+02
1.07470e-02	4.55538e+20	1.20788e+07	2.03111e+34	1.39557e+02
1.09977e-02	4.25096e+20	1.20788e+07	1.89584e+34	1.39557e+02
1.12542e-02	3.96688e+20	1.20788e+07	1.76960e+34	1.39557e+02
1.15167e-02	3.70179e+20	1.20788e+07	1.65179e+34	1.39557e+02
1.17853e-02	3.45441e+20	1.20788e+07	1.54186e+34	1.39557e+02
1.20601e-02	3.22357e+20	1.20788e+07	1.43928e+34	1.39557e+02
