R	M	log_10_P0	g_surf_(m/s^2)	Teff_(K)
10436888.122922495	0.39719358526860987	21.5	242003.61466698954	412263.2411602806
9480756.225719886	0.48236255488553337	21.854166666666668	356149.9261360351	454952.74738985655
8588718.915052412	0.5799991789956053	22.208333333333332	521788.45175890054	501560.0151563792
7750450.205657018	0.6789940121454732	22.5625	750084.4872244155	549584.0795292942
6949038.743270589	0.7815110122080194	22.916666666666668	1073870.3147424364	601789.1522589638
6201082.8280602	0.8813596414353063	23.270833333333332	1520709.3663289	656537.3496414128
5492546.17823153	0.9714285200069547	23.625	2136224.833051227	715135.0858030239
4832766.296752781	1.0591043910948623	23.979166666666668	3007990.3514462905	779657.4473260136
4230823.748849781	1.1366146865715778	24.333333333333332	4211425.30228339	848726.859175893
3686135.103795785	1.2016012480487843	24.6875	5864216.08415721	922187.733735143
3201211.4530733638	1.2425738725021522	25.041666666666668	8039068.479065513	997167.547643204
2751192.6133011584	1.2788560452892277	25.395833333333332	11199365.047413569	1083729.179617846
2351703.1438401337	1.308812135229396	25.75	15682244.50232593	1179314.1795202342
1999896.8385734328	1.3324148642611475	26.104166666666668	22068823.83707483	1285038.517663942
1692523.8328882894	1.351042579472507	26.458333333333336	31230910.09344843	1402211.8546354973
1439114.9889071782	1.350820666351658	26.8125	43172907.2162975	1518118.424936881
1211819.8971496571	1.3412244501239639	27.166666666666668	60424564.13572579	1650331.0937089347
1010925.6144976997	1.3342519879037358	27.520833333333336	86320384.42790778	1803986.0539637192
838651.6286874614	1.3303115835673462	27.875	124957064.4021534	1978883.7810809296
693181.7495533895	1.3280991940350644	28.229166666666668	182423892.1135705	2175754.116140055
571443.8019551971	1.3263207833777393	28.583333333333336	267746637.86252424	2395914.898791944
479559.0140577884	1.3100042583617166	28.9375	375042287.32239676	2597819.676119325
415166.7624697929	1.2372235771913234	29.291666666666668	472251460.43889266	2737594.2684918833
347495.0544739113	1.1624419702652864	29.645833333333336	632661524.9098727	2936038.6463080845
284624.2299769001	1.1013004212151614	30.0	892030721.3580183	3189859.0901901424
