R	M	log_10_P0	g_surf_(m/s^2)
14013814.401392207	0.14952239042895232	20.0	50534.77435826684
12924812.167272376	0.1997199441405109	20.416666666666668	79353.05313561026
11831694.461491195	0.262123603260706	20.833333333333332	124278.01966342793
10759466.637578513	0.33896359276214777	21.25	194330.80909705025
9717142.278805448	0.43097918745752106	21.666666666666668	302923.3698600373
8718189.029772764	0.5374572171111035	22.083333333333332	469269.9542999799
7762068.52482225	0.6531003818158607	22.5	719328.9548918399
6851364.49936279	0.7733879315870964	22.916666666666668	1093223.3772420194
5996732.791847946	0.8916453189809183	23.333333333333332	1645062.666448267
5205385.323212591	0.9991524380493473	23.75	2446189.896985915
4475599.425177092	1.0928090272674686	24.166666666666668	3618586.7787646116
3815415.898360964	1.171301197139511	24.583333333333336	5335821.481568517
3229866.282193737	1.232013779893255	25.0	7830100.514650978
2713650.525648764	1.27016504591257	25.416666666666668	11433044.920558365
2256100.9820846333	1.2991352075354727	25.833333333333336	16912522.81926479
1860887.051103513	1.3212672272840653	26.25	25272561.471246187
1532606.6219822087	1.333737585345187	26.666666666666668	37592532.38777344
1257691.9290924908	1.3200653243125546	27.083333333333336	55221564.53671188
1016810.092024433	1.3101335585396219	27.5	83789610.22116123
815301.3648529941	1.3050580272315566	27.916666666666668	129701643.81391487
650645.2585077616	1.302492056807709	28.333333333333336	203011734.1175931
517737.33992976183	1.3001983158367847	28.75	319570890.3910274
435307.00353975483	1.24360324397009	29.166666666666668	431936871.5129484
357347.6307213075	1.1522812896166912	29.583333333333336	593239991.9889195
283220.9057227433	1.0781555614946141	30.0	882124173.9203506
