r[m]	m[Msun]	rho[kg/m^3]	P[Pa]	ne[pm^-3]	np[pm^-3]	muF_e[MeV]	B
2511.88643150958	4.536452423628523e-12	135913480.5777841	1e+20	0.03918869608324657	0.005080069242431007	0.040471679170142834	0.9999287807481035
5023.77286301916	3.6291614189282614e-11	135913440.28899717	9.99999511207211e+19	0.039188684341177435	0.005080067736739994	0.04047167124815219	0.9999287807561063
7535.659294528739	1.2248416200687344e-10	135913373.14104396	9.999986965530691e+19	0.039188664771069526	0.005080065227255895	0.040471658044834095	0.9999287807694447
10047.54572603832	2.903327082180541e-10	135913279.13396236	9.999975560383503e+19	0.039188637372933946	0.005080061713980117	0.040471639560188136	0.9999287807881186
12559.432157547899	5.670557683434775e-10	135913158.26780468	9.99996089664137e+19	0.03918860214678613	0.005080057196914628	0.04047161579421366	0.9999287808121282
15071.318589057479	9.798717288093369e-10	135913010.54264012	9.999942974318204e+19	0.03918855909264673	0.005080051676062028	0.04047158674691034	0.9999287808414734
17583.20502056706	1.5559988146740873e-09	135912835.9585516	9.999921793431006e+19	0.03918850821053982	0.0050800451514253836	0.04047155241827703	0.9999287808761542
20095.09145207664	2.3226550573553984e-09	135912634.51563746	9.999897353999873e+19	0.03918844950049456	0.0050800376230083905	0.04047151280831283	0.9999287809161705
22606.977883586216	3.307058262357376e-09	135912406.21401167	9.999869656047981e+19	0.03918838296254468	0.005080029090815316	0.04047146791701674	0.9999287809615223
25118.864315095794	4.536425976998112e-09	135912151.05380264	9.999838699601607e+19	0.039188308596727735	0.005080019554850934	0.04047141774438722	0.9999287810122096
27630.750746605372	6.037975458137586e-09	135911869.03515357	9.999804484690112e+19	0.039188226403086245	0.005080009015120618	0.04047136229042286	0.9999287810682324
30142.63717811495	7.838923639905982e-09	135911560.15822473	9.999767011345952e+19	0.03918813638166726	0.005079997471630349	0.040471301555122206	0.9999287811295905
32654.523609624528	9.966487101432466e-09	135911224.42318946	9.999726279604673e+19	0.039188038532521806	0.005079984924386586	0.04047123553848327	0.999928781196284
35166.410041134106	1.2447882034574454e-08	135910861.83023706	9.99968228950491e+19	0.039187932855705834	0.005079971373396428	0.04047116424050426	0.999928781268313
37678.296472643684	1.5310324211647428e-08	135910472.37957284	9.999635041088389e+19	0.039187819351279914	0.00507995681866755	0.040471087661183285	0.9999287813456771
40190.18290415326	1.858102895315536e-08	135910056.0714154	9.999584534399926e+19	0.03918769801930828	0.005079941260208091	0.0404710058005178	0.9999287814283766
42702.06933566284	2.228721109552174e-08	135909612.90599993	9.999530769487433e+19	0.03918756885986033	0.00507992469802686	0.040470918658505606	0.9999287815164113
45213.95576717242	2.64560849588213e-08	135909142.88357633	9.999473746401904e+19	0.03918743187300972	0.005079907132133187	0.04047082623514414	0.9999287816097812
47725.842198681996	3.111486431451251e-08	135908646.00440878	9.999413465197429e+19	0.03918728705883442	0.005079888562536956	0.04047072853043063	0.9999287817084862
50237.728630191574	3.629076235317079e-08	135908122.26877853	9.999349925931187e+19	0.03918713441741719	0.005079868989248665	0.040470625544362364	0.9999287818125263
52749.61506170115	4.20109916522225e-08	135907571.67698032	9.999283128663441e+19	0.039186973948845114	0.005079848412279348	0.040470517276936395	0.9999287819219014
55261.50149321073	4.8302764143679946e-08	135906994.22932515	9.999213073457557e+19	0.039186805653209485	0.005079826831640582	0.04047040372814943	0.9999287820366115
57773.38792472031	5.5193291081877176e-08	135906389.92613792	9.999139760379978e+19	0.03918662953060645	0.005079804247344552	0.04047028489799829	0.9999287821566566
60285.274356229886	6.270978301120669e-08	135905758.76775962	9.999063189500245e+19	0.039186445581136396	0.005079780659403993	0.04047016078647952	0.9999287822820366
62797.16078773946	7.087944973385727e-08	135905100.75454608	9.998983360890986e+19	0.03918625380490412	0.005079756067832184	0.040470031393589435	0.9999287824127514
65309.04721924904	7.972950027755291e-08	135904415.88686827	9.998900274627918e+19	0.039186054202018955	0.005079730472642983	0.04046989671932426	0.9999287825488009
67820.93365075863	8.928714286329254e-08	135903704.1651119	9.998813930789847e+19	0.03918584677259476	0.005079703873850832	0.040469756763680136	0.9999287826901851
70332.82008226821	9.957958487309114e-08	135902965.58967966	9.99872432945867e+19	0.03918563151675005	0.005079676271470749	0.04046961152665314	0.9999287828369041
72844.7065137778	1.1063403281772208e-07	135902200.1609859	9.998631470719374e+19	0.0391854084346071	0.005079647665518239	0.040469461008238755	0.9999287829889576
75356.59294528738	1.2247769230446045e-07	135901407.87946427	9.998535354660032e+19	0.03918517752629363	0.005079618056009492	0.04046930520843296	0.9999287831463456
77868.47937679697	1.3513776800482794e-07	135900588.7455595	9.998435981371807e+19	0.03918493879194074	0.005079587442961132	0.04046914412723084	0.9999287833090681
80380.36580830655	1.4864146362233872e-07	135899742.75973523	9.998333350948954e+19	0.03918469223168515	0.0050795558263904885	0.04046897776462814	0.9999287834771249
82892.25223981614	1.63015981860247e-07	135898869.92246687	9.998227463488813e+19	0.03918443784566694	0.005079523206315317	0.04046880612061968	0.9999287836505161
85404.13867132572	1.7828852438929582e-07	135897970.23424742	9.998118319091814e+19	0.03918417563403139	0.005079489582754045	0.04046862919520063	0.9999287838292414
87916.02510283531	1.9448629181546735e-07	135897043.69558463	9.998005917861473e+19	0.039183905596928234	0.005079454955725638	0.040468446988365984	0.999928784013301
90427.9115343449	2.1163648364773463e-07	135896090.30699912	9.997890259904399e+19	0.039183627734510965	0.005079419325249575	0.04046825950011017	0.9999287842026946
92939.79796585448	2.2976629826581486e-07	135895110.06902972	9.997771345330282e+19	0.03918334204693823	0.00507938269134596	0.04046806673042786	0.9999287843974223
95451.68439736406	2.4890293288792453e-07	135894102.982229	9.997649174251907e+19	0.039183048534373065	0.0050793450540354565	0.040467868679313554	0.9999287845974839
97963.57082887365	2.6907358353853586e-07	135893069.04716462	9.997523746785142e+19	0.03918274719698284	0.005079306413339288	0.04046766534676152	0.9999287848028793
100475.45726038323	2.9030544501613487e-07	135892008.26441902	9.997395063048946e+19	0.03918243803493899	0.005079266769279188	0.040467456732765604	0.9999287850136085
102987.34369189282	3.126257108609817e-07	135890920.63459107	9.99726312316536e+19	0.039182121048418186	0.005079226121877551	0.040467242837319985	0.9999287852296713
105499.2301234024	3.36061573322872e-07	135889806.15829322	9.997127927259518e+19	0.039181796237600944	0.005079184471157268	0.04046702366041835	0.9999287854510678
108011.11655491199	3.606402233289009e-07	135888664.83615366	9.996989475459639e+19	0.03918146360267247	0.005079141817141816	0.04046679920205431	0.9999287856777977
110523.00298642158	3.8638885045122786e-07	135887496.668817	9.996847767897027e+19	0.03918112314382271	0.00507909815985527	0.04046656946222153	0.9999287859098611
113034.88941793116	4.1333464287484476e-07	135886301.65694052	9.996702804706075e+19	0.03918077486124531	0.0050790534993221835	0.04046633444091307	0.9999287861472578
115546.77584944075	4.415047873653445e-07	135885079.80119884	9.996554586024259e+19	0.03918041875513929	0.0050790078355677885	0.040466094138122355	0.9999287863899877
118058.66228095033	4.709264692366927e-07	135883831.10227966	9.996403111992143e+19	0.0391800548257073	0.005078961168617777	0.040465848553842165	0.9999287866380507
120570.54871245992	5.016268723190011e-07	135882555.56088823	9.996248382753377e+19	0.03917968307315718	0.005078913498498499	0.040465597688065624	0.9999287868914468
123082.4351439695	5.336331789263023e-07	135881253.17774257	9.996090398454699e+19	0.039179303497700546	0.005078864825236772	0.04046534154078518	0.9999287871501757
125594.32157547909	5.669725698243284e-07	135879923.95357832	9.995929159245926e+19	0.03917891609955423	0.005078815148860094	0.040465080111993706	0.9999287874142376
128106.20800698867	6.016722241982897e-07	135878567.8891431	9.995764665279965e+19	0.03917852087893871	0.005078764469396415	0.04046481340168333	0.9999287876836321
130618.09443849826	6.377593196206574e-07	135877184.9852022	9.995596916712805e+19	0.03917811783607936	0.005078712786874303	0.04046454140984634	0.9999287879583593
133129.98087000783	6.752610320189479e-07	135875775.24253556	9.995425913703526e+19	0.039177706971206254	0.005078660101322932	0.040464264136475026	0.9999287882384189
135641.8673015174	7.142045356435087e-07	135874338.66193664	9.995251656414285e+19	0.03917728828455319	0.005078606412771939	0.04046398158156103	0.999928788523811
138153.75373302697	7.54617003035308e-07	135872875.2442167	9.995074145010324e+19	0.039176861776359345	0.005078551721251642	0.040463693745096486	0.9999287888145354
140665.64016453654	7.965256049937254e-07	135871384.99020046	9.994893379659974e+19	0.03917642744686778	0.005078496026792858	0.040463400627072946	0.9999287891105919
143177.5265960461	8.399575105443464e-07	135869867.90072733	9.994709360534646e+19	0.03917598529632582	0.005078439329426943	0.04046310222748171	0.9999287894119805
