xWS	rho[g/cm^3]	n_e[pm^-3]	P[N/m^2]	mu_F_e[MeV]
1.00000e-03	2.26009e+24	1.20788e+07	9.03039e+37	1.39557e+02
1.02332e-03	2.10906e+24	1.20788e+07	8.42692e+37	1.39557e+02
1.04719e-03	1.96812e+24	1.20788e+07	7.86378e+37	1.39557e+02
1.07161e-03	1.83659e+24	1.20788e+07	7.33827e+37	1.39557e+02
1.09660e-03	1.71386e+24	1.20788e+07	6.84788e+37	1.39557e+02
1.12218e-03	1.59933e+24	1.20788e+07	6.39026e+37	1.39557e+02
1.14835e-03	1.49245e+24	1.20788e+07	5.96322e+37	1.39557e+02
1.17513e-03	1.39272e+24	1.20788e+07	5.56472e+37	1.39557e+02
1.20254e-03	1.29965e+24	1.20788e+07	5.19285e+37	1.39557e+02
1.23059e-03	1.21280e+24	1.20788e+07	4.84584e+37	1.39557e+02
1.25929e-03	1.13175e+24	1.20788e+07	4.52201e+37	1.39557e+02
1.28866e-03	1.05612e+24	1.20788e+07	4.21982e+37	1.39557e+02
1.31871e-03	9.85543e+23	1.20788e+07	3.93782e+37	1.39557e+02
1.34947e-03	9.19682e+23	1.20788e+07	3.67467e+37	1.39557e+02
1.38094e-03	8.58223e+23	1.20788e+07	3.42911e+37	1.39557e+02
1.41315e-03	8.00871e+23	1.20788e+07	3.19995e+37	1.39557e+02
1.44611e-03	7.47352e+23	1.20788e+07	2.98611e+37	1.39557e+02
1.47983e-03	6.97409e+23	1.20788e+07	2.78656e+37	1.39557e+02
1.51435e-03	6.50804e+23	1.20788e+07	2.60035e+37	1.39557e+02
1.54966e-03	6.07313e+23	1.20788e+07	2.42658e+37	1.39557e+02
1.58581e-03	5.66729e+23	1.20788e+07	2.26442e+37	1.39557e+02
1.62279e-03	5.28856e+23	1.20788e+07	2.11309e+37	1.39557e+02
1.66064e-03	4.93515e+23	1.20788e+07	1.97188e+37	1.39557e+02
1.69937e-03	4.60535e+23	1.20788e+07	1.84011e+37	1.39557e+02
1.73900e-03	4.29759e+23	1.20788e+07	1.71714e+37	1.39557e+02
1.77956e-03	4.01040e+23	1.20788e+07	1.60239e+37	1.39557e+02
1.82106e-03	3.74240e+23	1.20788e+07	1.49531e+37	1.39557e+02
1.86354e-03	3.49231e+23	1.20788e+07	1.39539e+37	1.39557e+02
1.90700e-03	3.25893e+23	1.20788e+07	1.30214e+37	1.39557e+02
1.95147e-03	3.04115e+23	1.20788e+07	1.21512e+37	1.39557e+02
1.99699e-03	2.83792e+23	1.20788e+07	1.13392e+37	1.39557e+02
2.04356e-03	2.64827e+23	1.20788e+07	1.05814e+37	1.39557e+02
2.09122e-03	2.47129e+23	1.20788e+07	9.87433e+36	1.39557e+02
2.14000e-03	2.30615e+23	1.20788e+07	9.21446e+36	1.39557e+02
2.18991e-03	2.15204e+23	1.20788e+07	8.59870e+36	1.39557e+02
2.24098e-03	2.00822e+23	1.20788e+07	8.02408e+36	1.39557e+02
2.29325e-03	1.87402e+23	1.20788e+07	7.48787e+36	1.39557e+02
2.34673e-03	1.74879e+23	1.20788e+07	6.98749e+36	1.39557e+02
2.40146e-03	1.63192e+23	1.20788e+07	6.52054e+36	1.39557e+02
2.45747e-03	1.52287e+23	1.20788e+07	6.08480e+36	1.39557e+02
2.51478e-03	1.42110e+23	1.20788e+07	5.67818e+36	1.39557e+02
2.57343e-03	1.32613e+23	1.20788e+07	5.29873e+36	1.39557e+02
2.63345e-03	1.23751e+23	1.20788e+07	4.94464e+36	1.39557e+02
2.69487e-03	1.15481e+23	1.20788e+07	4.61421e+36	1.39557e+02
2.75772e-03	1.07764e+23	1.20788e+07	4.30587e+36	1.39557e+02
2.82204e-03	1.00563e+23	1.20788e+07	4.01813e+36	1.39557e+02
2.88786e-03	9.38423e+22	1.20788e+07	3.74961e+36	1.39557e+02
2.95521e-03	8.75712e+22	1.20788e+07	3.49905e+36	1.39557e+02
3.02413e-03	8.17191e+22	1.20788e+07	3.26522e+36	1.39557e+02
3.09466e-03	7.62581e+22	1.20788e+07	3.04702e+36	1.39557e+02
3.16684e-03	7.11621e+22	1.20788e+07	2.84341e+36	1.39557e+02
3.24070e-03	6.64066e+22	1.20788e+07	2.65340e+36	1.39557e+02
3.31628e-03	6.19689e+22	1.20788e+07	2.47608e+36	1.39557e+02
3.39362e-03	5.78277e+22	1.20788e+07	2.31062e+36	1.39557e+02
3.47277e-03	5.39633e+22	1.20788e+07	2.15621e+36	1.39557e+02
3.55376e-03	5.03571e+22	1.20788e+07	2.01213e+36	1.39557e+02
3.63664e-03	4.69919e+22	1.20788e+07	1.87767e+36	1.39557e+02
3.72146e-03	4.38516e+22	1.20788e+07	1.75220e+36	1.39557e+02
3.80825e-03	4.09212e+22	1.20788e+07	1.63511e+36	1.39557e+02
3.89707e-03	3.81866e+22	1.20788e+07	1.52584e+36	1.39557e+02
3.98796e-03	3.56347e+22	1.20788e+07	1.42388e+36	1.39557e+02
4.08097e-03	3.32534e+22	1.20788e+07	1.32873e+36	1.39557e+02
4.17615e-03	3.10312e+22	1.20788e+07	1.23994e+36	1.39557e+02
4.27355e-03	2.89575e+22	1.20788e+07	1.15709e+36	1.39557e+02
4.37322e-03	2.70223e+22	1.20788e+07	1.07977e+36	1.39557e+02
4.47521e-03	2.52165e+22	1.20788e+07	1.00761e+36	1.39557e+02
4.57958e-03	2.35314e+22	1.20788e+07	9.40284e+35	1.39557e+02
4.68639e-03	2.19589e+22	1.20788e+07	8.77453e+35	1.39557e+02
