# r[m]	m[Msun]	rho[kg/m^3]	P[Pa]	ne[pm^-3]	np[pm^-3]	muF_e[MeV]	B
1.308177474260192744e-04	4.737005480467863659e-32	1.004731598740549758e+07	8.254041852680206077e+22	2.960253694505770916e+00	3.757847066533265279e-01	5.036674354250250119e-01	9.999999998395243672e-01
1.329455097820937443e-04	4.971928885416299416e-32	1.004731598740549758e+07	8.254041852680206077e+22	2.960253694505770916e+00	3.757847066533265279e-01	5.036674354250250119e-01	9.999999998395243672e-01
1.351078803830966981e-04	5.218502900949854059e-32	1.004731598740549758e+07	8.254041852680206077e+22	2.960253694505770916e+00	3.757847066533265279e-01	5.036674354250250119e-01	9.999999998395243672e-01
1.373054221352258642e-04	5.477305318485445177e-32	1.004731598740549758e+07	8.254041852680206077e+22	2.960253694505770916e+00	3.757847066533265279e-01	5.036674354250250119e-01	9.999999998395243672e-01
1.395387071003980955e-04	5.748942583982887816e-32	1.004731598740549758e+07	8.254041852680206077e+22	2.960253694505770916e+00	3.757847066533265279e-01	5.036674354250250119e-01	9.999999998395243672e-01
1.418083166451690642e-04	6.034051219016373119e-32	1.004731598740549758e+07	8.254041852680206077e+22	2.960253694505770916e+00	3.757847066533265279e-01	5.036674354250250119e-01	9.999999998395243672e-01
1.441148415920728962e-04	6.333299312321211978e-32	1.004731598740549758e+07	8.254041852680206077e+22	2.960253694505770916e+00	3.757847066533265279e-01	5.036674354250250119e-01	9.999999998395243672e-01
1.464588823734251394e-04	6.647388085311406794e-32	1.004731598740549758e+07	8.254041852680206077e+22	2.960253694505770916e+00	3.757847066533265279e-01	5.036674354250250119e-01	9.999999998395243672e-01
1.488410491876270686e-04	6.977053535236278510e-32	1.004731598740549758e+07	8.254041852680206077e+22	2.960253694505770916e+00	3.757847066533265279e-01	5.036674354250250119e-01	9.999999998395243672e-01
1.512619621580108713e-04	7.323068159826335778e-32	1.004731598740549758e+07	8.254041852680206077e+22	2.960253694505770916e+00	3.757847066533265279e-01	5.036674354250250119e-01	9.999999998395243672e-01
1.537222514942707650e-04	7.686242767470225857e-32	1.004731598740549758e+07	8.254041852680206077e+22	2.960253694505770916e+00	3.757847066533265279e-01	5.036674354250250119e-01	9.999999998395243672e-01
1.562225576565175850e-04	8.067428377163896675e-32	1.004731598740549758e+07	8.254041852680206077e+22	2.960253694505770916e+00	3.757847066533265279e-01	5.036674354250250119e-01	9.999999998395243672e-01
1.587635315220030309e-04	8.467518212684558706e-32	1.004731598740549758e+07	8.254041852680206077e+22	2.960253694505770916e+00	3.757847066533265279e-01	5.036674354250250119e-01	9.999999998395243672e-01
1.613458345545560170e-04	8.887449795662224173e-32	1.004731598740549758e+07	8.254041852680206077e+22	2.960253694505770916e+00	3.757847066533265279e-01	5.036674354250250119e-01	9.999999998395243672e-01
1.639701389767731139e-04	9.328207142453155826e-32	1.004731598740549758e+07	8.254041852680206077e+22	2.960253694505770916e+00	3.757847066533265279e-01	5.036674354250250119e-01	9.999999998395243672e-01
1.666371279450121667e-04	9.790823069963750218e-32	1.004731598740549758e+07	8.254041852680206077e+22	2.960253694505770916e+00	3.757847066533265279e-01	5.036674354250250119e-01	9.999999998395243672e-01
1.693474957272297768e-04	1.027638161582729020e-31	1.004731598740549758e+07	8.254041852680206077e+22	2.960253694505770916e+00	3.757847066533265279e-01	5.036674354250250119e-01	9.999999998395243672e-01
1.721019478837128433e-04	1.078602057860531888e-31	1.004731598740549758e+07	8.254041852680206077e+22	2.960253694505770916e+00	3.757847066533265279e-01	5.036674354250250119e-01	9.999999998395243672e-01
1.749012014507500274e-04	1.132093418396589113e-31	1.004731598740549758e+07	8.254041852680206077e+22	2.960253694505770916e+00	3.757847066533265279e-01	5.036674354250250119e-01	9.999999998395243672e-01
1.777459851272885684e-04	1.188237588308581275e-31	1.004731598740549758e+07	8.254041852680206077e+22	2.960253694505770916e+00	3.757847066533265279e-01	5.036674354250250119e-01	9.999999998395243672e-01
1.806370394646298998e-04	1.247166128983522205e-31	1.004731598740549758e+07	8.254041852680206077e+22	2.960253694505770916e+00	3.757847066533265279e-01	5.036674354250250119e-01	9.999999998395243672e-01
1.835751170592081147e-04	1.309017126362615831e-31	1.004731598740549758e+07	8.254041852680206077e+22	2.960253694505770916e+00	3.757847066533265279e-01	5.036674354250250119e-01	9.999999998395243672e-01
