r[m]	m[Msun]	rho[kg/m^3]	P[Pa]	ne[pm^-3]	np[pm^-3]	muF_e[MeV]	B
184.78497974222907	1.7795292207300152e-10	13392180605.766115	1.4677992676220735e+27	3841.7812440292428	498.9821891229497	9.064184982818821	0.9968920007212099
369.56995948445814	1.4236224732728819e-09	13392163025.013395	1.4677966869290652e+27	3841.776184322123	498.9815348582557	9.064180772159277	0.9968920007212099
554.3549392266872	4.804719613845497e-09	13392133723.821945	1.4677923857858706e+27	3841.767751495129	498.980444419444	9.064173754396197	0.9968920007212099
739.1399189689163	1.1388944121939861e-08	13392092702.289125	1.467786364210595e+27	3841.75594557635	498.97891781013476	9.06416392953447	0.9968920007212099
923.9248987111454	2.2243978955998134e-08	13392039960.550362	1.467778622228495e+27	3841.740766604847	498.9769550353605	9.064151297580725	0.9968920007212099
1108.7098784533744	3.843748464840333e-08	13391975498.77967	1.467769159872029e+27	3841.7222146308577	498.9745561015959	9.0641358585435	0.9968920007212099
1293.4948581956035	6.103709369931008e-08	13391899317.190004	1.4677579771808645e+27	3841.700289715823	498.97172101675636	9.064117612433254	0.9968920007212099
1478.2798379378326	9.111040497070744e-08	13391811416.032927	1.4677450742018775e+27	3841.6749919322983	498.96844979019187	9.064096559262316	0.9968920007212099
1663.0648176800617	1.297249780807599e-07	13391711795.598364	1.4677304509891556e+27	3841.6463213639895	498.9647424326874	9.064072699044885	0.9968920007212099
1847.8497974222907	1.7794832779847156e-07	13391600456.215294	1.467714107603996e+27	3841.614278105775	498.9605989564694	9.064046031797083	0.9968920007212099
2032.6347771645198	2.368479184387215e-07	13391477398.251345	1.4676960441149047e+27	3841.578862263745	498.95601937520746	9.06401655753696	0.9968920007212099
2217.4197569067487	3.074911582577138e-07	13391342622.112448	1.4676762605975973e+27	3841.5400739550446	498.9510037039958	9.063984276284376	0.9968920007212099
2402.204736648978	3.909453938488926e-07	13391196128.243637	1.467654757134998e+27	3841.497913308059	498.9455519593786	9.063949188061157	0.9968920007212099
2586.989716391207	4.882779045393636e-07	13391037917.12842	1.4676315338172384e+27	3841.452380462318	498.9396641593331	9.063911292891008	0.9968920007212099
2771.774696133436	6.005558967868712e-07	13390867989.289045	1.4676065907416572e+27	3841.4034755685043	498.9333403232766	9.063870590799533	0.9968920007212099
2956.559675875665	7.288464985773792e-07	13390686345.286415	1.4675799280128e+27	3841.3511987884413	498.9265804720602	9.06382708181422	0.9968920007212099
3141.344655617894	8.742167538232956e-07	13390492985.719828	1.4675515457424174e+27	3841.295550295101	498.9193846279724	9.063780765964436	0.9968920007212099
3326.1296353601233	1.0377336167623925e-06	13390287911.227827	1.4675214440494643e+27	3841.236530272668	498.91175281474574	9.063731643281505	0.9968920007212099
3510.9146151023524	1.2204639463574687e-06	13390071122.486975	1.4674896230600992e+27	3841.174138916415	498.9036850575416	9.06367971379858	0.9968920007212099
3695.6995948445815	1.4234745006967918e-06	13389842620.21284	1.4674560829076834e+27	3841.1083764327814	498.8951813829613	9.063624977550738	0.9968920007212099
3880.4845745868106	1.6478319313953795e-06	13389602405.159607	1.4674208237327795e+27	3841.0392430393777	498.88624181904436	9.063567434574958	0.9968920007212099
4065.2695543290397	1.8946027779971567e-06	13389350478.120127	1.4673838456831502e+27	3840.9667389649726	498.8768663952685	9.06350708491012	0.9968920007212099
4250.054534071269	2.164853462378035e-06	13389086839.925533	1.467345148913758e+27	3840.8908644494036	498.8670551425383	9.063443928596941	0.9968920007212099
4434.839513813497	2.459650283149964e-06	13388811491.44611	1.4673047335867622e+27	3840.8116197437616	498.85680809320684	9.063377965678125	0.9968920007212099
4619.624493555726	2.7800594100660057e-06	13388524433.590462	1.4672625998715193e+27	3840.729005110212	498.84612528105566	9.063309196198201	0.9968920007212099
4804.409473297955	3.1271468784264604e-06	13388225667.30573	1.4672187479445806e+27	3840.643020822063	498.835006741302	9.063237620203603	0.9968920007212099
4989.194453040183	3.501978583486116e-06	13387915193.577917	1.4671731779896914e+27	3840.5536671638133	498.82345251060366	9.063163237742701	0.9968920007212099
5173.979432782412	3.905620274862633e-06	13387593013.431446	1.4671258901977888e+27	3840.460944431034	498.8114626270479	9.063086048865708	0.9968920007212099
5358.764412524641	4.339137550946153e-06	13387259127.929462	1.4670768847670008e+27	3840.3648529304937	498.79903713016165	9.063006053624768	0.9968920007212099
5543.549392266869	4.803595853310139e-06	13386913538.173536	1.467026161902644e+27	3840.265392980051	498.78617606090245	9.0629232520739	0.9968920007212099
5728.334372009098	5.3000604611235126e-06	13386556245.303999	1.4669737218172232e+27	3840.1625649087127	498.77287946166484	9.062837644269017	0.9968920007212099
5913.119351751327	5.829596485564136e-06	13386187250.499626	1.4669195647304274e+27	3840.056369056624	498.7591473762781	9.062749230267947	0.9968920007212099
6097.904331493555	6.393268864233675e-06	13385806554.977755	1.4668636908691306e+27	3839.946805775025	498.7449798499996	9.062658010130365	0.9968920007212099
6282.689311235784	6.99214235557389e-06	13385414159.99441	1.4668061004673884e+27	3839.8338754263336	498.73037692953	9.062563983917906	0.9968920007212099
6467.4742909780125	7.62728153328441e-06	13385010066.844042	1.466746793766436e+27	3839.7175783840516	498.7153386629954	9.062467151694047	0.9968920007212099
6652.259270720241	8.299750780742041e-06	13384594276.85968	1.4666857710146875e+27	3839.5979150328085	498.69986509995795	9.062367513524178	0.9968920007212099
6837.04425046247	9.010614285421604e-06	13384166791.41292	1.4666230324677314e+27	3839.474885768354	498.68395629141116	9.062265069475576	0.9968920007212099
7021.829230204698	9.760936033318444e-06	13383727611.913868	1.4665585783883324e+27	3839.348490997581	498.667612289785	9.062159819617436	0.9968920007212099
7206.614209946927	1.0551779803372555e-05	13383276739.810955	1.4664924090464254e+27	3839.2187311384123	498.6508331489304	9.062051764020781	0.9968920007212099
7391.399189689156	1.1384209161894435e-05	13382814176.591545	1.4664245247191158e+27	3839.0856066199904	498.6336189241458	9.061940902758618	0.9968920007212099
7576.184169431384	1.2259287456992687e-05	13382339923.780937	1.4663549256906755e+27	3838.9491178824587	498.61596967214325	9.061827235905751	0.9968920007212099
7760.969149173613	1.317807781300342e-05	13381853982.943497	1.4662836122525419e+27	3838.8092653771673	498.5978854510828	9.06171076353897	0.9968920007212099
7945.754128915842	1.4141643124921484e-05	13381356355.681608	1.466210584703315e+27	3838.666049566481	498.57936632054185	9.061591485736884	0.9968920007212099
8130.53910865807	1.515104605283363e-05	13380847043.636276	1.466135843348755e+27	3838.5194709239	498.56041234153304	9.061469402580022	0.9968920007212099
8315.324088400299	1.6207349016353554e-05	13380326048.486885	1.46605938850178e+27	3838.3695299339993	498.5410235764962	9.06134451415079	0.9968920007212099
8500.109068142528	1.7311614189058984e-05	13379793371.951591	1.4659812204824632e+27	3838.2162270925146	498.52120008930876	9.061216820533543	0.9968920007212099
8684.894047884758	1.8464903492930713e-05	13379249015.786518	1.4659013396180298e+27	3838.0595629061568	498.5009419452637	9.061086321814441	0.9968920007212099
8869.679027626988	1.9668278592793798e-05	13378692981.786528	1.4658197462428553e+27	3837.8995378928266	498.480249211094	9.060953018081609	0.9968920007212099
9054.464007369217	2.092280089076082e-05	13378125271.784666	1.4657364406984628e+27	3837.736152581424	498.4591219549517	9.060816909425004	0.9968920007212099
9239.248987111447	2.2229531520677315e-05	13377545887.652529	1.465651423333519e+27	3837.569407511978	498.4375602464204	9.06067799593651	0.9968920007212099
9424.033966853676	2.358953134256942e-05	13376954831.29997	1.4655646945038327e+27	3837.399303235563	498.4155641565113	9.060536277709893	0.9968920007212099
9608.818946595906	2.5003860937093807e-05	13376352104.675383	1.4654762545723507e+27	3837.225840314353	498.39313375766136	9.06039175484081	0.9968920007212099
