r[m]	m[Msun]	rho[g/cm^3]	P[Pa]	ne[pm^-3]	np[pm^-3]	muF_e[MeV]	B
81.75230379436498	2.351320154171319e-10	204342141384.59296	5.62341325190349e+28	59075.61944309813	7571.165725664648	23.271452470855042	0.9925960568831343
163.50460758872995	1.8810546898415273e-09	204341819205.0703	5.623401405134186e+28	59075.52612439183	7571.153827900379	23.27143999111213	0.9925960568831343
245.25691138309492	6.348549686108038e-09	204341282240.586	5.623381660583641e+28	59075.3705936172	7571.133998344363	23.27141919155063	0.9925960568831343
327.0092151774599	1.504838092173913e-08	204340530493.27698	5.623354018351359e+28	59075.15285139389	7571.106237075296	23.271390072187714	0.9925960568831343
408.7615189718249	2.9391285622474855e-08	204339563966.11987	5.623318478576151e+28	59074.872898585614	7571.070544202822	23.27135263304687	0.9925960568831343
490.5138227661899	5.078796542540218e-08	204338382662.94543	5.623275041436403e+28	59074.530736303204	7571.026919867996	23.271306874158398	0.9925960568831343
572.2661265605549	8.064907748245136e-08	204336986588.4273	5.623223707150123e+28	59074.12636590273	7570.975364242995	23.27125279555907	0.9925960568831343
654.0184303549198	1.2038522556433292e-07	204335375748.09253	5.6231644759749405e+28	59073.65978898739	7570.915877531373	23.271190397292457	0.9925960568831343
735.7707341492847	1.7140695116500281e-07	204333550148.31842	5.623097348208111e+28	59073.13100740726	7570.848459968044	23.271119679408855	0.9925960568831343
817.5230379436497	2.351247246067445e-07	204331509796.3307	5.623022324186512e+28	59072.54002325833	7570.773111819113	23.27104064196516	0.9925960568831343
899.2753417380146	3.129489361459547e-07	204329254700.20673	5.622939404286642e+28	59071.88683888368	7570.689833382089	23.27095328502504	0.9925960568831343
981.0276455323796	4.062898870797221e-07	204326784868.87482	5.6228485889246195e+28	59071.17145687323	7570.598624985818	23.27085760865893	0.9925960568831343
1062.7799493267446	5.165577808532853e-07	204324100312.10648	5.622749878556172e+28	59070.39388006165	7570.499486990217	23.2707536129437	0.9925960568831343
1144.5322531211095	6.451627141684612e-07	204321201040.5321	5.622643273676641e+28	59069.55411153285	7570.392419786828	23.270641297963262	0.9925960568831343
1226.2845569154745	7.935146680931271e-07	204318087065.62796	5.622528774820969e+28	59068.652154615316	7570.277423798297	23.27052066380803	0.9925960568831343
1308.0368607098394	9.630234991718494e-07	204314758399.71652	5.622406382563698e+28	59067.68801288405	7570.154499478524	23.270391710575076	0.9925960568831343
1389.7891645042043	1.1550989305377417e-06	204311215055.9748	5.6222760975189665e+28	59066.661690161745	7570.023647312855	23.270254438368337	0.9925960568831343
1471.5414682985693	1.371150543025646e-06	204307457048.42603	5.622137920340499e+28	59065.573190515606	7569.884867817737	23.270108847298253	0.9925960568831343
1553.2937720929342	1.6125877662867195e-06	204303484391.94547	5.621991851721597e+28	59064.42251826109	7569.738161541087	23.26995493748215	0.9925960568831343
1635.0460758872991	1.8808198699045203e-06	204299297102.25415	5.621837892395142e+28	59063.20967795905	7569.583529061981	23.269792709043948	0.9925960568831343
1716.798379681664	2.177255954512671e-06	204294895195.92566	5.621676043133583e+28	59061.93467441637	7569.420970990758	23.269622162114235	0.9925960568831343
1798.550683476029	2.5033049429142007e-06	204290278690.37854	5.621506304748926e+28	59060.59751268658	7569.250487969054	23.26944329683034	0.9925960568831343
1880.302987270394	2.8603755712026448e-06	204285447603.88516	5.62132867809273e+28	59059.198198069884	7569.072080669838	23.26925611333635	0.9925960568831343
1962.0552910647589	3.2498763798849842e-06	204280401955.56253	5.621143164056096e+28	59057.736736112	7568.885749797248	23.26906061178297	0.9925960568831343
2043.8075948591238	3.6732157050065293e-06	204275141765.3772	5.620949763569664e+28	59056.213132604724	7568.691496086662	23.268856792327583	0.9925960568831343
2125.5598986534887	4.131801669277826e-06	204269667054.14413	5.620748477603597e+28	59054.627393586	7568.489320304732	23.268644655134285	0.9925960568831343
2207.312202447854	4.627042173203664e-06	204263977843.52744	5.620539307167574e+28	59052.97952534065	7568.279223249416	23.26842420037396	0.9925960568831343
2289.064506242219	5.160344886214289e-06	204258074156.03537	5.620322253310782e+28	59051.269534397965	7568.061205749741	23.268195428223986	0.9925960568831343
2370.8168100365842	5.733117237798897e-06	204251956015.03085	5.620097317121904e+28	59049.49742753483	7567.835268666174	23.267958338868688	0.9925960568831343
2452.5691138309494	6.346766408641511e-06	204245623444.7178	5.6198644997291075e+28	59047.66321177229	7567.601412890178	23.267712932498824	0.9925960568831343
2534.3214176253146	7.002699321759308e-06	204239076470.14966	5.6196238023000375e+28	59045.76689437866	7567.359639344591	23.267459209312033	0.9925960568831343
2616.0737214196797	7.70232263364349e-06	204232315117.23062	5.619375226041799e+28	59043.808482867615	7567.109948983434	23.267197169512617	0.9925960568831343
