# r[m]	m[Msun]	rho[g/cm^3]	P[Pa]	ne[pm^-3]	np[pm^-3]	muF_e[MeV]	B
1.132835021332607249e-05	1.489944777871326302e-31	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
1.151260684222097707e-05	1.563835952759328096e-31	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
1.169986042165610822e-05	1.641391629719768176e-31	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
1.189015969729988854e-05	1.722793543248797736e-31	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
1.208355420767345920e-05	1.808232440643362898e-31	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
1.228009429704637031e-05	1.897908528975057432e-31	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
1.247983112854224061e-05	1.992031944230946418e-31	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
1.268281669745746454e-05	2.090823243720548557e-31	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
1.288910384479655481e-05	2.194513922902871534e-31	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
1.309874627102776942e-05	2.303346957844637002e-31	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
1.331179855006219784e-05	2.417577374580620789e-31	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
1.352831614346050422e-05	2.537472846710555652e-31	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
1.374835541487058872e-05	2.663314322632717078e-31	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
1.397197364470010060e-05	2.795396683884057449e-31	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
1.419922904502771973e-05	2.934029436129627529e-31	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
1.443018077475670986e-05	3.079537434420234287e-31	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
1.466488895501520746e-05	3.232261644418132437e-31	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
1.490341468480687831e-05	3.392559941374281208e-31	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
1.514582005691610914e-05	3.560807948729446041e-31	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
1.539216817407206784e-05	3.737399918304357712e-31	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
1.564252316537536754e-05	3.922749654141133126e-31	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
1.589695020299219491e-05	4.117291482161165334e-31	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
1.615551551911985497e-05	4.321481267911415441e-31	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
1.641828642322822835e-05	4.535797484783985867e-31	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
1.668533131958183365e-05	4.760742335212311492e-31	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
1.695671972504657419e-05	4.996842927470816055e-31	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
1.723252228718642076e-05	5.244652510836130318e-31	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
1.751281080265429258e-05	5.504751772003821775e-31	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
1.779765823588203922e-05	5.777750195798589639e-31	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
1.808713873807463602e-05	6.064287493366678762e-31	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
1.838132766651292660e-05	6.365035101196595998e-31	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
1.868030160417069577e-05	6.680697754481457524e-31	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
1.898413837965064375e-05	7.012015138509298165e-31	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
1.929291708744465186e-05	7.359763621951179970e-31	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
1.960671810852354416e-05	7.724758076108622607e-31	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
1.992562313126193860e-05	8.107853784383618752e-31	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
2.024971517270304650e-05	8.509948446444962131e-31	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
2.057907860016975252e-05	8.931984281788148401e-31	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
2.091379915322698639e-05	9.374950237617342558e-31	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
2.125396396600132568e-05	9.839884306223358002e-31	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
2.159966158986383676e-05	1.032787595728819292e-30	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
2.195098201648141580e-05	1.084006869081477127e-30	4.866495724820536804e+10	8.254041852680207067e+27	1.401661472516620051e+04	1.809585020915383893e+03	1.421701263140151106e+01	9.999999941607815579e-01
