# r[m]	m[Msun]	rho[g/cm^3]	P[Pa]	ne[pm^-3]	np[pm^-3]	muF_e[MeV]	B
2.799000110081641341e-04	3.777889989486097564e-32	8.180629698512825416e+05	1.840710214288747266e+21	2.390062230169515967e-01	3.057581723312583280e-02	1.250772372883239281e-01	9.999999999401877337e-01
2.844526097083122465e-04	3.965247758758305069e-32	8.180629698512825416e+05	1.840710214288747266e+21	2.390062230169515967e-01	3.057581723312583280e-02	1.250772372883239281e-01	9.999999999401877337e-01
2.890792568332884436e-04	4.161897205078893846e-32	8.180629698512825416e+05	1.840710214288747266e+21	2.390062230169515967e-01	3.057581723312583280e-02	1.250772372883239281e-01	9.999999999401877337e-01
2.937811567873424524e-04	4.368299132730017099e-32	8.180629698512825416e+05	1.840710214288747266e+21	2.390062230169515967e-01	3.057581723312583280e-02	1.250772372883239281e-01	9.999999999401877337e-01
2.985595335644658293e-04	4.584937198766794471e-32	8.180629698512825416e+05	1.840710214288747266e+21	2.390062230169515967e-01	3.057581723312583280e-02	1.250772372883239281e-01	9.999999999401877337e-01
3.034156310670228242e-04	4.812319046360236122e-32	8.180629698512825416e+05	1.840710214288747266e+21	2.390062230169515967e-01	3.057581723312583280e-02	1.250772372883239281e-01	9.999999999401877337e-01
3.083507134295599902e-04	5.050977494346133810e-32	8.180629698512825416e+05	1.840710214288747266e+21	2.390062230169515967e-01	3.057581723312583280e-02	1.250772372883239281e-01	9.999999999401877337e-01
3.133660653478852870e-04	5.301471785767650095e-32	8.180629698512825416e+05	1.840710214288747266e+21	2.390062230169515967e-01	3.057581723312583280e-02	1.250772372883239281e-01	9.999999999401877337e-01
3.184629924134998362e-04	5.564388898337171466e-32	8.180629698512825416e+05	1.840710214288747266e+21	2.390062230169515967e-01	3.057581723312583280e-02	1.250772372883239281e-01	9.999999999401877337e-01
3.236428214534658120e-04	5.840344919888035967e-32	8.180629698512825416e+05	1.840710214288747266e+21	2.390062230169515967e-01	3.057581723312583280e-02	1.250772372883239281e-01	9.999999999401877337e-01
3.289069008758076121e-04	6.129986492039623204e-32	8.180629698512825416e+05	1.840710214288747266e+21	2.390062230169515967e-01	3.057581723312583280e-02	1.250772372883239281e-01	9.999999999401877337e-01
3.342566010205256719e-04	6.433992325458174471e-32	8.180629698512825416e+05	1.840710214288747266e+21	2.390062230169515967e-01	3.057581723312583280e-02	1.250772372883239281e-01	9.999999999401877337e-01
3.396933145163228860e-04	6.753074790264475253e-32	8.180629698512825416e+05	1.840710214288747266e+21	2.390062230169515967e-01	3.057581723312583280e-02	1.250772372883239281e-01	9.999999999401877337e-01
3.452184566431336799e-04	7.087981585315020902e-32	8.180629698512825416e+05	1.840710214288747266e+21	2.390062230169515967e-01	3.057581723312583280e-02	1.250772372883239281e-01	9.999999999401877337e-01
3.508334657005457197e-04	7.439497490268006980e-32	8.180629698512825416e+05	1.840710214288747266e+21	2.390062230169515967e-01	3.057581723312583280e-02	1.250772372883239281e-01	9.999999999401877337e-01
3.565398033822194290e-04	7.808446204540234507e-32	8.180629698512825416e+05	1.840710214288747266e+21	2.390062230169515967e-01	3.057581723312583280e-02	1.250772372883239281e-01	9.999999999401877337e-01
