# r[m]	M[Msun]	rho[g/cm^3]	P[N/m^2]	n_e[pm^-3]	n_p[pm^-3]	muF_e[MeV]	B
1.64875271e-04	8.60222417e-02	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
1.67556982e-04	9.02883625e-02	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
1.70282311e-04	9.47660541e-02	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
1.73051968e-04	9.94658089e-02	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
1.75866674e-04	1.04398640e-01	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
1.78727161e-04	1.09576105e-01	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
1.81634175e-04	1.15010339e-01	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
1.84588471e-04	1.20714073e-01	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
1.87590819e-04	1.26700674e-01	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
1.90642000e-04	1.32984169e-01	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
1.93742809e-04	1.39579284e-01	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
1.96894053e-04	1.46501472e-01	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
2.00096553e-04	1.53766953e-01	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
2.03351141e-04	1.61392753e-01	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
2.06658666e-04	1.69396741e-01	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
2.10019987e-04	1.77797672e-01	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
2.13435981e-04	1.86615233e-01	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
2.16907536e-04	1.95870086e-01	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
2.20435557e-04	2.05583916e-01	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
2.24020961e-04	2.15779486e-01	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
2.27664682e-04	2.26480688e-01	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
2.31367668e-04	2.37712597e-01	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
2.35130884e-04	2.49501533e-01	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
2.38955309e-04	2.61875120e-01	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
2.42841938e-04	2.74862353e-01	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
2.46791784e-04	2.88493665e-01	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
2.50805875e-04	3.02800998e-01	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
2.54885255e-04	3.17817878e-01	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
2.59030986e-04	3.33579493e-01	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
2.63244148e-04	3.50122778e-01	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
2.67525838e-04	3.67486497e-01	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
2.71877169e-04	3.85711340e-01	4.58200521e+09	2.59550809e+22	1.34735417e+00	1.71442230e-01	3.35013399e-01	9.99419402e-01
