# r[m]	M[Msun]	rho[g/cm^3]	P[N/m^2]	n_e[pm^-3]	n_p[pm^-3]	muF_e[MeV]	B
7.364631853223040707e+02	6.487508925600242355e-11	7.712070946938747168e+07	1.459636752446370089e+24	2.264622693967739764e+01	3.839405404345130446e+00	1.290020141261087439e+00	9.979175884546863662e-01
1.472926370644608141e+03	5.190005329605232013e-10	7.712065379755738378e+07	1.459635398519469927e+24	2.264621168404426399e+01	3.839402633549347410e+00	1.290019773138680659e+00	9.979175888540615658e-01
2.209389555966912212e+03	1.751625549118441058e-09	7.712056101128892601e+07	1.459633141978051270e+24	2.264618625801886864e+01	3.839398015562090372e+00	1.290019159601504928e+00	9.979175895324172707e-01
2.945852741289216283e+03	4.151997114040074481e-09	7.712043111075928807e+07	1.459629982827347268e+24	2.264615066164735424e+01	3.839391550392179386e+00	1.290018300649846461e+00	9.979175904896525617e-01
3.682315926611520354e+03	8.109358832161260569e-09	7.712026409621541202e+07	1.459625921074657216e+24	2.264610489499395740e+01	3.839383238051905511e+00	1.290017196284098278e+00	9.979175917256666306e-01
4.418779111933824424e+03	1.401294981210524235e-08	7.712005996797341108e+07	1.459620956729361593e+24	2.264604895814094476e+01	3.839373078557004604e+00	1.290015846504757979e+00	9.979175932403584470e-01
5.155242297256128950e+03	2.225200354276948189e-08	7.711981872642099857e+07	1.459615089802924471e+24	2.264598285118904641e+01	3.839361071926755908e+00	1.290014251312437299e+00	9.979175950336270917e-01
5.891705482578432566e+03	3.321574676943914702e-08	7.711954037201672792e+07	1.459608320308893519e+24	2.264590657425760156e+01	3.839347218183974952e+00	1.290012410707867208e+00	9.979175971053716454e-01
6.628168667900736182e+03	4.729339836993260675e-08	7.711922490528789163e+07	1.459600648262900540e+24	2.264582012748375206e+01	3.839331517354915402e+00	1.290010324691876598e+00	9.979175994554909668e-01
7.364631853223039798e+03	6.487416823078434684e-08	7.711887232683356106e+07	1.459592073682661467e+24	2.264572351102331638e+01	3.839313969469374754e+00	1.290007993265415820e+00	9.979176020838841366e-01
8.101095038545343414e+03	8.634725612347032621e-08	7.711848263732302189e+07	1.459582596587975296e+24	2.264561672505038814e+01	3.839294574560664142e+00	1.290005416429543805e+00	9.979176049904500134e-01
8.837558223867647030e+03	1.121018505806814306e-07	7.711805583749550581e+07	1.459572217000725689e+24	2.264549976975725087e+01	3.839273332665561700e+00	1.290002594185429619e+00	9.979176081750876781e-01
9.574021409189950646e+03	1.425271277726504318e-07	7.711759192816147208e+07	1.459560934944879101e+24	2.264537264535464089e+01	3.839250243824391173e+00	1.289999526534356677e+00	9.979176116376958783e-01
1.031048459451225426e+04	1.780122503835372329e-07	7.711709091020040214e+07	1.459548750446486119e+24	2.264523535207143112e+01	3.839225308080930432e+00	1.289996213477714093e+00	9.979176153781734726e-01
1.104694777983455788e+04	2.189463664878783100e-07	7.711655278456349671e+07	1.459535663533681195e+24	2.264508789015487622e+01	3.839198525482491409e+00	1.289992655017005774e+00	9.979176193964194308e-01
1.178341096515686149e+04	2.657186084271055700e-07	7.711597755227212608e+07	1.459521674236681572e+24	2.264493025987075470e+01	3.839169896079915212e+00	1.289988851153851535e+00	9.979176236923325005e-01
1.251987415047916511e+04	3.187180916861394573e-07	7.711536521441717446e+07	1.459506782587787550e+24	2.264476246150276495e+01	3.839139419927465102e+00	1.289984801889972443e+00	9.979176282658115404e-01
1.325633733580146873e+04	3.783339137700626731e-07	7.711471577216164768e+07	1.459490988621383028e+24	2.264458449535339213e+01	3.839107097083023223e+00	1.289980507227213247e+00	9.979176331167551872e-01
1.399280052112377234e+04	4.449551530808785990e-07	7.711402922673715651e+07	1.459474292373934693e+24	2.264439636174294179e+01	3.839072927607858343e+00	1.289975967167517723e+00	9.979176382450622995e-01
1.472926370644607596e+04	5.189708677943600077e-07	7.711330557944628596e+07	1.459456693883991488e+24	2.264419806101042454e+01	3.839036911566829691e+00	1.289971181712951109e+00	9.979176436506315140e-01
1.546572689176837957e+04	6.007700947369955017e-07	7.711254483166292310e+07	1.459438193192185415e+24	2.264398959351290941e+01	3.838999049028243515e+00	1.289966150865684114e+00	9.979176493333615783e-01
1.620219007709068319e+04	6.907418482630346303e-07	7.711174698483014107e+07	1.459418790341230459e+24	2.264377095962590403e+01	3.838959340063938352e+00	1.289960874628001131e+00	9.979176552931512401e-01
1.693865326241298681e+04	7.892751191316417975e-07	7.711091204046186805e+07	1.459398485375923129e+24	2.264354215974319473e+01	3.838917784749245943e+00	1.289955353002298022e+00	9.979176615298990249e-01
1.767511644773529042e+04	8.967588733841612376e-07	7.711004000014211237e+07	1.459377278343142189e+24	2.264330319427671157e+01	3.838874383162977022e+00	1.289949585991078118e+00	9.979176680435035696e-01
1.841157963305759404e+04	1.013582051221498827e-06	7.710913086552593112e+07	1.459355169291847044e+24	2.264305406365703277e+01	3.838829135387496816e+00	1.289943573596964432e+00	9.979176748338635106e-01
1.914804281837989765e+04	1.140133565881626826e-06	7.710818463833826780e+07	1.459332158273079355e+24	2.264279476833267779e+01	3.838782041508615350e+00	1.289937315822682562e+00	9.979176819008774846e-01
1.988450600370220127e+04	1.276802302517216831e-06	7.710720132037416101e+07	1.459308245339961960e+24	2.264252530877073255e+01	3.838733101615686483e+00	1.289930812671076010e+00	9.979176892444439062e-01
2.062096918902450489e+04	1.423977117073406357e-06	7.710618091349917650e+07	1.459283430547698611e+24	2.264224568545636274e+01	3.838682315801517753e+00	1.289924064145094196e+00	9.979176968644613011e-01
2.135743237434680850e+04	1.582046835165701259e-06	7.710512341964970529e+07	1.459257713953574509e+24	2.264195589889312998e+01	3.838629684162456090e+00	1.289917070247801112e+00	9.979177047608281947e-01
2.209389555966911212e+04	1.751400250958027013e-06	7.710402884083142877e+07	1.459231095616954691e+24	2.264165594960284977e+01	3.838575206798318096e+00	1.289909830982370220e+00	9.979177129334431129e-01
2.283035874499141573e+04	1.932426126040923579e-06	7.710289717912189662e+07	1.459203575599284571e+24	2.264134583812586499e+01	3.838518883812474858e+00	1.289902346352092222e+00	9.979177213822044701e-01
2.356682193031371935e+04	2.125513188309898230e-06	7.710172843666750193e+07	1.459175153964089130e+24	2.264102556502037800e+01	3.838460715311720062e+00	1.289894616360359514e+00	9.979177301070106809e-01
2.430328511563602297e+04	2.331050130843936777e-06	7.710052261568525434e+07	1.459145830776973726e+24	2.264069513086323937e+01	3.838400701406395665e+00	1.289886641010683510e+00	9.979177391077601600e-01
2.503974830095832658e+04	2.549425610784183569e-06	7.709927971846346557e+07	1.459115606105622479e+24	2.264035453624948957e+01	3.838338842210343049e+00	1.289878420306685314e+00	9.979177483843512109e-01
