# r[m]	M[Msun]	rho[g/cm^3]	P[N/m^2]	n_e[pm^-3]	n_p[pm^-3]	muF_e[MeV]	B
1.000000000000000000e+02	2.484590907066155539e-11	1.179780097009321213e+10	1.290797433369540835e+27	3.490525444562847497e+03	4.443230762299557455e+02	8.764636052935960819e+00	9.875518624425944081e-01
2.000000000000000000e+02	1.987672398152197794e-10	1.179779694837648201e+10	1.290796846827479117e+27	3.490524256740637611e+03	4.443229249634609914e+02	8.764635005611724594e+00	9.875518636043291165e-01
3.000000000000000000e+02	6.708392083796650851e-10	1.179779024551902008e+10	1.290795869258073801e+27	3.490522277038059201e+03	4.443226728527776004e+02	8.764633260071510890e+00	9.875518656343172941e-01
4.000000000000000000e+02	1.590136625494944565e-09	1.179778086152664948e+10	1.290794500662393063e+27	3.490519505456824390e+03	4.443223198981240216e+02	8.764630816315643003e+00	9.875518685322048906e-01
5.000000000000000000e+02	3.105733692079854954e-09	1.179776879640741539e+10	1.290792741041928117e+27	3.490515941999311963e+03	4.443218660998019800e+02	8.764627674344552588e+00	9.875518722976384112e-01
6.000000000000000000e+02	5.366703795971767789e-09	1.179775405017180252e+10	1.290790590398594311e+27	3.490511586668625114e+03	4.443213114582079584e+02	8.764623834158841831e+00	9.875518769302641386e-01
7.000000000000000000e+02	8.522119308659543851e-09	1.179773662283242607e+10	1.290788048734733055e+27	3.490506439468459575e+03	4.443206559738127908e+02	8.764619295759157325e+00	9.875518824297284670e-01
8.000000000000000000e+02	1.272105138201863210e-08	1.179771651440435219e+10	1.290785116053110720e+27	3.490500500403282786e+03	4.443198996471850251e+02	8.764614059146339287e+00	9.875518887956776792e-01
9.000000000000000000e+02	1.811256974504882355e-08	1.179769372490485764e+10	1.290781792356919739e+27	3.490493769478185641e+03	4.443190424789729036e+02	8.764608124321322080e+00	9.875518960277585023e-01
1.000000000000000000e+03	2.484574250061502061e-08	1.179766825435363388e+10	1.290778077649778055e+27	3.490486246698962987e+03	4.443180844699148793e+02	8.764601491285169743e+00	9.875519041256173303e-01
1.100000000000000000e+03	3.306963592219158069e-08	1.179764010277257729e+10	1.290773971935729121e+27	3.490477932072084059e+03	4.443170256208359206e+02	8.764594160039077764e+00	9.875519130889007791e-01
1.200000000000000000e+03	4.293331425061051202e-08	1.179760927018600655e+10	1.290769475219242453e+27	3.490468825604723861e+03	4.443158659326488760e+02	8.764586130584380186e+00	9.875519229172555757e-01
1.300000000000000000e+03	5.458583949081415600e-08	1.179757575662033081e+10	1.290764587505211976e+27	3.490458927304665394e+03	4.443146054063458337e+02	8.764577402922473226e+00	9.875519336103283363e-01
1.400000000000000000e+03	6.817627120861257302e-08	1.179753956210463142e+10	1.290759308798958502e+27	3.490448237180483375e+03	4.443132440430193810e+02	8.764567977054980474e+00	9.875519451677660099e-01
1.500000000000000000e+03	8.385366632744624529e-08	1.179750068666995811e+10	1.290753639106228079e+27	3.490436755241333685e+03	4.443117818438356039e+02	8.764557852983559272e+00	9.875519575892152124e-01
1.600000000000000000e+03	1.017670789251545237e-07	1.179745913034984970e+10	1.290747578433191716e+27	3.490424481497130273e+03	4.443102188100567673e+02	8.764547030710058806e+00	9.875519708743228930e-01
1.700000000000000000e+03	1.220655600307499906e-07	1.179741489317997551e+10	1.290741126786446483e+27	3.490411415958380985e+03	4.443085549430222727e+02	8.764535510236379778e+00	9.875519850227360008e-01
1.800000000000000000e+03	1.448981574211996717e-07	1.179736797519865417e+10	1.290734284173014961e+27	3.490397558636373560e+03	4.443067902441698607e+02	8.764523291564636054e+00	9.875520000341015958e-01
